name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
East 6th Street,0,5591077,1,106,,6.488351988946678,1,29,,residential,6,"LINESTRING (-111.9304264 33.4231268, -111.930412 33.4231839)",bike;auto;walk,1
East 6th Street,1,5591077,106,1,,6.488351988946678,1,29,,residential,6,"LINESTRING (-111.930412 33.4231839, -111.9304264 33.4231268)",bike;auto;walk,1
East 6th Street,2,5591077,106,181,,4.9859055803012176,1,29,,residential,6,"LINESTRING (-111.930412 33.4231839, -111.9304005 33.4232277)",bike;auto;walk,1
East 6th Street,3,5591077,181,106,,4.9859055803012176,1,29,,residential,6,"LINESTRING (-111.9304005 33.4232277, -111.930412 33.4231839)",bike;auto;walk,1
East 6th Street,4,5591077,181,2011,,7.569980636190462,1,29,,residential,6,"LINESTRING (-111.9304005 33.4232277, -111.9303882 33.423295)",bike;auto;walk,1
East 6th Street,5,5591077,2011,181,,7.569980636190462,1,29,,residential,6,"LINESTRING (-111.9303882 33.423295, -111.9304005 33.4232277)",bike;auto;walk,1
East 6th Street,6,5591077,2011,2,,184.2463406734256,1,29,,residential,6,"LINESTRING (-111.9303882 33.423295, -111.9303108 33.4236887, -111.9302973 33.4237531, -111.9302813 33.4238045, -111.930243 33.4238667, -111.9302129 33.4238974, -111.9301639 33.4239305, -111.9301123 33.4239534, -111.929686 33.4241011, -111.929663 33.424109, -111.9292198 33.4242567, -111.9290798 33.4242989)",bike;auto;walk,1
East 6th Street,7,5591077,2,2011,,184.2463406734256,1,29,,residential,6,"LINESTRING (-111.9290798 33.4242989, -111.9292198 33.4242567, -111.929663 33.424109, -111.929686 33.4241011, -111.9301123 33.4239534, -111.9301639 33.4239305, -111.9302129 33.4238974, -111.930243 33.4238667, -111.9302813 33.4238045, -111.9302973 33.4237531, -111.9303108 33.4236887, -111.9303882 33.423295)",bike;auto;walk,1
West 6th Street,8,5591085,477,2132,,51.80434670757692,1,25,,residential,6,"LINESTRING (-111.9412665 33.4243385, -111.9407083 33.4243409)",bike;auto;walk,1
West 6th Street,9,5591085,2132,477,,51.80434670757692,1,25,,residential,6,"LINESTRING (-111.9407083 33.4243409, -111.9412665 33.4243385)",bike;auto;walk,1
West 6th Street,10,5591085,2132,4,,58.44003270071547,1,25,,residential,6,"LINESTRING (-111.9407083 33.4243409, -111.9400786 33.4243437)",bike;auto;walk,1
West 6th Street,11,5591085,4,2132,,58.44003270071547,1,25,,residential,6,"LINESTRING (-111.9400786 33.4243437, -111.9407083 33.4243409)",bike;auto;walk,1
East 6th Street,12,5591100,348,2089,,7.6579798258827,1,25,,residential,6,"LINESTRING (-111.9376334 33.4243567, -111.9375509 33.4243581)",bike;auto;walk,1
East 6th Street,13,5591100,2089,348,,7.6579798258827,1,25,,residential,6,"LINESTRING (-111.9375509 33.4243581, -111.9376334 33.4243567)",bike;auto;walk,1
