poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
1,community_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
2,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
3,stands,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
4,restaurant,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
5,detached,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
6,library,"1,000 Sq. Ft. GFA",1,8.16,0.1,1,0
7,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
8,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
9,terrace,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
10,industrial,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
11,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
12,stadium,"1,000 Sq. Ft. GFA",1,0.1,0.47,0,1
13,waste_disposal,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
14,commercial,"1,000 Sq. Ft. GFA",1,0.1,3.81,0,1
15,kindergarten,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
16,clinic,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
17,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
18,bar,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
19,hospital,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
20,post_office,"1,000 Sq. Ft. GFA",1,11.21,0.1,1,0
21,retail,"1,000 Sq. Ft. GFA",1,0.1,6.84,0,1
22,bench,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
23,fast_food,"1,000 Sq. Ft. GFA",1,0.1,14.13,0,1
24,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
25,greenhouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
26,parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
27,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
28,yes,"1,000 Sq. Ft. GFA",1,1.15,1.15,1,1
29,bank,"1,000 Sq. Ft. GFA",1,12.13,0.1,1,0
30,theatre,"1,000 Sq. Ft. GFA",1,0.1,6.17,0,1
31,residential,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
32,dormitory,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
33,construction,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
34,railway_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
35,parking_space,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
36,garage,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
37,pub,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
38,car_wash,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
39,houseboat,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
40,house,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
41,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
42,church,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
43,semidetached_house,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
44,school,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
45,gatehouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
46,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
