name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
East 6th Street,0,5591077,1,2,,203.29057887886398,1,29,,residential,6,"LINESTRING (-111.9304264 33.4231268, -111.930412 33.4231839, -111.9304005 33.4232277, -111.9303882 33.423295, -111.9303108 33.4236887, -111.9302973 33.4237531, -111.9302813 33.4238045, -111.930243 33.4238667, -111.9302129 33.4238974, -111.9301639 33.4239305, -111.9301123 33.4239534, -111.929686 33.4241011, -111.929663 33.424109, -111.9292198 33.4242567, -111.9290798 33.4242989)",bike,1
East 6th Street,1,5591077,2,1,,203.29057887886395,1,29,,residential,6,"LINESTRING (-111.9290798 33.4242989, -111.9292198 33.4242567, -111.929663 33.424109, -111.929686 33.4241011, -111.9301123 33.4239534, -111.9301639 33.4239305, -111.9302129 33.4238974, -111.930243 33.4238667, -111.9302813 33.4238045, -111.9302973 33.4237531, -111.9303108 33.4236887, -111.9303882 33.423295, -111.9304005 33.4232277, -111.930412 33.4231839, -111.9304264 33.4231268)",bike,1
West 6th Street,2,5591085,283,1047,,51.80434670757692,1,25,,residential,6,"LINESTRING (-111.9412665 33.4243385, -111.9407083 33.4243409)",bike,1
West 6th Street,3,5591085,1047,283,,51.80434670757692,1,25,,residential,6,"LINESTRING (-111.9407083 33.4243409, -111.9412665 33.4243385)",bike,1
West 6th Street,4,5591085,1047,4,,58.44003270071547,1,25,,residential,6,"LINESTRING (-111.9407083 33.4243409, -111.9400786 33.4243437)",bike,1
West 6th Street,5,5591085,4,1047,,58.44003270071547,1,25,,residential,6,"LINESTRING (-111.9400786 33.4243437, -111.9407083 33.4243409)",bike,1
East 6th Street,6,5591100,204,1035,,7.6579798258827,1,25,,residential,6,"LINESTRING (-111.9376334 33.4243567, -111.9375509 33.4243581)",bike,1
East 6th Street,7,5591100,1035,204,,7.6579798258827,1,25,,residential,6,"LINESTRING (-111.9375509 33.4243581, -111.9376334 33.4243567)",bike,1
East 6th Street,8,5591100,1035,1032,,17.89278234335368,1,25,,residential,6,"LINESTRING (-111.9375509 33.4243581, -111.9373581 33.4243583)",bike,1
East 6th Street,9,5591100,1032,1035,,17.89278234335368,1,25,,residential,6,"LINESTRING (-111.9373581 33.4243583, -111.9375509 33.4243581)",bike,1
East 6th Street,10,5591100,1032,6,,64.2302743979489,1,25,,residential,6,"LINESTRING (-111.9373581 33.4243583, -111.9367572 33.424359, -111.936666 33.4243591)",bike,1
East 6th Street,11,5591100,6,1032,,64.2302743979489,1,25,,residential,6,"LINESTRING (-111.936666 33.4243591, -111.9367572 33.424359, -111.9373581 33.4243583)",bike,1
East 6th Street,12,5591100,6,688,,40.11128336540821,1,25,,residential,6,"LINESTRING (-111.936666 33.4243591, -111.9365605 33.4243597, -111.9362338 33.4243617)",bike,1
East 6th Street,13,5591100,688,6,,40.11128336540821,1,25,,residential,6,"LINESTRING (-111.9362338 33.4243617, -111.9365605 33.4243597, -111.936666 33.4243591)",bike,1
East 6th Street,14,5591100,688,1069,,35.05323075738288,1,25,,residential,6,"LINESTRING (-111.9362338 33.4243617, -111.9358561 33.4243639)",bike,1
East 6th Street,15,5591100,1069,688,,35.05323075738288,1,25,,residential,6,"LINESTRING (-111.9358561 33.4243639, -111.9362338 33.4243617)",bike,1
East 6th Street,16,5591100,1069,694,,32.324758324732635,1,25,,residential,6,"LINESTRING (-111.9358561 33.4243639, -111.9355078 33.424366)",bike,1
East 6th Street,17,5591100,694,1069,,32.324758324732635,1,25,,residential,6,"LINESTRING (-111.9355078 33.424366, -111.9358561 33.4243639)",bike,1
East 6th Street,18,5591100,694,1073,,10.83782252451541,1,25,,residential,6,"LINESTRING (-111.9355078 33.424366, -111.9353948 33.4243414)",bike,1
East 6th Street,19,5591100,1073,694,,10.83782252451541,1,25,,residential,6,"LINESTRING (-111.9353948 33.4243414, -111.9355078 33.424366)",bike,1
East 6th Street,20,5591100,1073,53,,38.48246806028784,1,25,,residential,6,"LINESTRING (-111.9353948 33.4243414, -111.9353091 33.4243324, -111.9350964 33.4243366, -111.9349809 33.4243346)",bike,1
East 6th Street,21,5591100,53,1073,,38.482468060287836,1,25,,residential,6,"LINESTRING (-111.9349809 33.4243346, -111.9350964 33.4243366, -111.9353091 33.4243324, -111.9353948 33.4243414)",bike,1
South Maple Avenue,22,5591429,7,1113,,67.33988158533121,1,29,,residential,6,"LINESTRING (-111.9412608 33.4219305, -111.9412597 33.4219207, -111.9412432 33.4213251)",bike,1
South Maple Avenue,23,5591429,1113,7,,67.33988158533121,1,29,,residential,6,"LINESTRING (-111.9412432 33.4213251, -111.9412597 33.4219207, -111.9412608 33.4219305)",bike,1
South Maple Avenue,24,5591429,1113,1116,,4.138491423240422,1,29,,residential,6,"LINESTRING (-111.9412432 33.4213251, -111.9412418 33.4212879)",bike,1
South Maple Avenue,25,5591429,1116,1113,,4.138491423240422,1,29,,residential,6,"LINESTRING (-111.9412418 33.4212879, -111.9412432 33.4213251)",bike,1
South Maple Avenue,26,5591429,1116,115,,6.483966194099007,1,29,,residential,6,"LINESTRING (-111.9412418 33.4212879, -111.9412404 33.4212296)",bike,1
South Maple Avenue,27,5591429,115,1116,,6.483966194099007,1,29,,residential,6,"LINESTRING (-111.9412404 33.4212296, -111.9412418 33.4212879)",bike,1
South Maple Avenue,28,5591429,115,1108,,3.3139337212009785,1,29,,residential,6,"LINESTRING (-111.9412404 33.4212296, -111.9412399 33.4211998)",bike,1
South Maple Avenue,29,5591429,1108,115,,3.3139337212009785,1,29,,residential,6,"LINESTRING (-111.9412399 33.4211998, -111.9412404 33.4212296)",bike,1
South Maple Avenue,30,5591429,1108,1107,,75.34019393967388,1,29,,residential,6,"LINESTRING (-111.9412399 33.4211998, -111.9412309 33.4205714, -111.94123 33.4205223)",bike,1
South Maple Avenue,31,5591429,1107,1108,,75.34019393967388,1,29,,residential,6,"LINESTRING (-111.94123 33.4205223, -111.9412309 33.4205714, -111.9412399 33.4211998)",bike,1
East Apache Boulevard,32,5602753,63,62,,168.4913565571683,2,39,,primary,3,"LINESTRING (-111.9395884 33.4159654, -111.9395362 33.4159003, -111.9394011 33.4157327, -111.9392425 33.41555, -111.9389322 33.4153003, -111.9388168 33.4152112, -111.9386707 33.4151129, -111.9383 33.4149256)",bike,0
East Apache Boulevard,33,5602753,62,18,,92.29612420822637,2,39,,primary,3,"LINESTRING (-111.9383 33.4149256, -111.938104 33.4148441, -111.937825 33.4147525, -111.9375837 33.4146896, -111.9373669 33.4146466)",bike,0
East Apache Boulevard,34,5602753,18,317,,32.334223607060224,2,39,,primary,3,"LINESTRING (-111.9373669 33.4146466, -111.9370926 33.4146142, -111.9370216 33.4146084)",bike,0
West 4th Street,35,5603481,199,21,,10.541563461018317,1,25,,residential,6,"LINESTRING (-111.9399641 33.4264662, -111.9399788 33.4264657, -111.940024 33.4264642, -111.9400776 33.4264624)",bike,1
West 4th Street,36,5603481,21,199,,10.541563461018317,1,25,,residential,6,"LINESTRING (-111.9400776 33.4264624, -111.940024 33.4264642, -111.9399788 33.4264657, -111.9399641 33.4264662)",bike,1
West 4th Street,37,5603481,21,22,,65.00036566986924,1,25,,residential,6,"LINESTRING (-111.9400776 33.4264624, -111.940778 33.4264585)",bike,1
West 4th Street,38,5603481,22,21,,65.00036566986924,1,25,,residential,6,"LINESTRING (-111.940778 33.4264585, -111.9400776 33.4264624)",bike,1
South Mill Avenue,39,5607328,29,975,,74.11915891229931,3,30,,primary,3,"LINESTRING (-111.9400803 33.4219289, -111.9400823 33.4218803, -111.9400874 33.4217822, -111.9400779 33.4214219, -111.9400726 33.4212626)",bike,0
South Mill Avenue,40,5607328,975,972,,37.9544583935054,3,30,,primary,3,"LINESTRING (-111.9400726 33.4212626, -111.9400612 33.4209214)",bike,0
South Mill Avenue,41,5607328,972,159,,47.58654734421524,3,30,,primary,3,"LINESTRING (-111.9400612 33.4209214, -111.9400495 33.4205725, -111.9400474 33.4204936)",bike,0
West 10th Street,42,5608313,158,1030,,40.22914100691347,1,29,,residential,6,"LINESTRING (-111.940028 33.4190552, -111.9401135 33.419054, -111.9403101 33.4190557, -111.9404614 33.4190531)",bike,1
West 10th Street,43,5608313,1030,158,,40.22914100691348,1,29,,residential,6,"LINESTRING (-111.9404614 33.4190531, -111.9403101 33.4190557, -111.9401135 33.419054, -111.940028 33.4190552)",bike,1
West 10th Street,44,5608313,1030,1018,,2.4693849163156205,1,29,,residential,6,"LINESTRING (-111.9404614 33.4190531, -111.940488 33.4190526)",bike,1
West 10th Street,45,5608313,1018,1030,,2.4693849163156205,1,29,,residential,6,"LINESTRING (-111.940488 33.4190526, -111.9404614 33.4190531)",bike,1
West 10th Street,46,5608313,1018,105,,10.146386177275886,1,29,,residential,6,"LINESTRING (-111.940488 33.4190526, -111.9405973 33.4190507)",bike,1
