name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,41459438,,,0,,,,-111.9275146,33.4245016,,,
,1,41529691,traffic_signals,,1,,,,-111.9304264,33.4231268,,,
,2,41529697,,,0,,,,-111.9290798,33.4242989,,,
,3,41529701,traffic_signals,,1,,,,-111.9262237,33.4245026,20,,
,4,41529740,traffic_signals,,1,,,,-111.9400786,33.4243437,8,,
,5,41529742,turning_loop,,0,,,,-111.9391418,33.4243489,,,
,6,41529813,,,0,,,,-111.936666,33.4243591,,,
,7,41533533,,,0,,,,-111.9412608,33.4219305,,,
,8,41533538,,,0,,,,-111.9412375,33.4190521,,,
,9,41533540,,,0,,,,-111.94123,33.4176195,,,
,10,41533544,,,0,,,,-111.941205,33.416204,,,
,11,41533545,,,0,,,,-111.9411894,33.4147443,,,
,12,41573980,traffic_signals,,1,,,,-111.9263074,33.4168484,,,
,13,41573982,traffic_signals,,1,,,,-111.9262905,33.4191375,,,
,14,41573985,,,0,,,,-111.9262379,33.4209763,,,
,15,41573995,traffic_signals,,1,,,,-111.9262821,33.4287845,14,,
,16,41605233,traffic_signals,,1,,,,-111.9400872,33.4295692,5,,
,17,41624255,,,0,,,,-111.9399667,33.4167979,,,
,18,41624258,,,0,,,,-111.9373669,33.4146466,,,
,19,41624261,traffic_signals,,1,,,,-111.9366104,33.4145994,23,,
,20,41624268,,,0,,,,-111.9306493,33.4147379,,,
,21,41630200,traffic_signals,,1,,,,-111.9400776,33.4264624,0,,
,22,41630202,,,0,,,,-111.940778,33.4264585,,,
,23,41654675,,,0,,,,-111.9294043,33.4166443,,,
,24,41662569,crossing,,0,,,,-111.9400948,33.4297326,,,
,25,41662578,,,0,,,,-111.9400739,33.4285325,,,
,26,41662581,traffic_signals,,1,,,,-111.9400679,33.4273849,9,,
,27,41662584,traffic_signals,,1,,,,-111.9400797,33.4254922,11,,
,28,41662587,traffic_signals,,1,,,,-111.9400687,33.4231956,3,,
,29,41662590,traffic_signals,,1,,,,-111.9400803,33.4219289,18,,
,30,41662596,,,0,,,,-111.9400362,33.4176249,,,
,31,41662598,,,0,,,,-111.9399894,33.4162047,,,
,32,41662601,,,0,,,,-111.9398928,33.4136273,,,
,33,41662602,,,0,,,,-111.9398917,33.4135032,,,
,34,41714336,traffic_signals,,1,,,,-111.9366625,33.4219038,4,,
,35,41714339,traffic_signals,,1,,,,-111.9349431,33.4220042,25,,
,36,41714341,traffic_signals,,1,,,,-111.9289415,33.4220194,,,
,37,41736773,,,0,,,,-111.9301262,33.4287001,,,
,38,41736777,traffic_signals,,1,,,,-111.9293057,33.4286516,16,,
,39,41746580,,,0,,,,-111.9366724,33.4254992,,,
,40,41746582,traffic_signals,,1,,,,-111.9349278,33.4254396,,,
,41,41800245,,,0,,,,-111.9289198,33.4202704,,,
,42,41800471,,,0,,,,-111.9307043,33.4135726,,,
,43,41830283,,,0,,,,-111.9370709,33.4135303,,,
,44,41830285,,,0,,,,-111.9349328,33.4135475,,,
,45,41830286,,,0,,,,-111.9327775,33.4135705,,,
,46,41957870,,,0,,,,-111.9366746,33.4232058,,,
