o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
1,A1,1,A1,0.0,"LINESTRING (-111.9402676 33.4291861,-111.9402676 33.4291861)"
1,A1,2,A2,0.41516314595962933,"LINESTRING (-111.9402676 33.4291861,-111.9360151 33.429841)"
1,A1,3,A3,0.765005980996234,"LINESTRING (-111.9402676 33.4291861,-111.9323473 33.4288298)"
1,A1,4,A4,1.1236686860478664,"LINESTRING (-111.9402676 33.4291861,-111.9286287 33.4287965)"
1,A1,5,A5,1.4481846466712072,"LINESTRING (-111.9402676 33.4291861,-111.9252591 33.4291343)"
1,A1,6,B1,0.366147352123217,"LINESTRING (-111.9402676 33.4291861,-111.9396172 33.4254476)"
1,A1,7,B2,0.5603937569039475,"LINESTRING (-111.9402676 33.4291861,-111.9361081 33.4251329)"
1,A1,8,B3,0.8879461354521342,"LINESTRING (-111.9402676 33.4291861,-111.9322211 33.4247208)"
1,A1,9,B4,1.1397470398222351,"LINESTRING (-111.9402676 33.4291861,-111.9290482 33.4254918)"
1,A1,10,B5,1.561260175716597,"LINESTRING (-111.9402676 33.4291861,-111.9246002 33.4251438)"
1,A1,11,C1,0.7089833879435075,"LINESTRING (-111.9402676 33.4291861,-111.9400547 33.4218415)"
1,A1,12,C2,0.8021638967312437,"LINESTRING (-111.9402676 33.4291861,-111.9360853 33.4220013)"
1,A1,13,C3,1.049831123293759,"LINESTRING (-111.9402676 33.4291861,-111.9323642 33.4217085)"
1,A1,14,C4,1.3425490801993392,"LINESTRING (-111.9402676 33.4291861,-111.9286819 33.4214811)"
1,A1,15,C5,1.6362484471795955,"LINESTRING (-111.9402676 33.4291861,-111.9249157 33.4219834)"
1,A1,16,D1,1.0534642707571362,"LINESTRING (-111.9402676 33.4291861,-111.9396634 33.418285)"
1,A1,17,D2,1.1531476685259008,"LINESTRING (-111.9402676 33.4291861,-111.9362585 33.4179277)"
1,A1,18,D3,1.2890998990212699,"LINESTRING (-111.9402676 33.4291861,-111.9325698 33.4182668)"
1,A1,19,D4,1.5465598635881042,"LINESTRING (-111.9402676 33.4291861,-111.9285817 33.4182162)"
1,A1,20,D5,1.8426124168433249,"LINESTRING (-111.9402676 33.4291861,-111.9250205 33.4176885)"
1,A1,21,E1,1.3825542606383627,"LINESTRING (-111.9402676 33.4291861,-111.940038 33.4148595)"
1,A1,22,E2,1.3978824198342223,"LINESTRING (-111.9402676 33.4291861,-111.9361338 33.4153011)"
1,A1,23,E3,1.5431647394312067,"LINESTRING (-111.9402676 33.4291861,-111.9326476 33.4151252)"
1,A1,24,E4,1.815264128072388,"LINESTRING (-111.9402676 33.4291861,-111.9282618 33.4147021)"
1,A1,25,E5,2.0147745731025877,"LINESTRING (-111.9402676 33.4291861,-111.9250165 33.4149242)"
1,A1,26,Gate1,0.7979604671052961,"LINESTRING (-111.9402676 33.4291861,-111.9440561 33.4218351)"
1,A1,27,Gate2,0.8486594098962074,"LINESTRING (-111.9402676 33.4291861,-111.9323255 33.4329651)"
1,A1,28,Gate3,2.0264079870548906,"LINESTRING (-111.9402676 33.4291861,-111.920595 33.4218351)"
1,A1,29,Gate4,1.9409356487537641,"LINESTRING (-111.9402676 33.4291861,-111.9323255 33.410705)"
2,A2,1,A1,0.41516314595962933,"LINESTRING (-111.9360151 33.429841,-111.9402676 33.4291861)"
2,A2,2,A2,0.0,"LINESTRING (-111.9360151 33.429841,-111.9360151 33.429841)"
2,A2,3,A3,0.3671101642291674,"LINESTRING (-111.9360151 33.429841,-111.9323473 33.4288298)"
2,A2,4,A4,0.7198038978658156,"LINESTRING (-111.9360151 33.429841,-111.9286287 33.4287965)"
2,A2,5,A5,1.0400873028581292,"LINESTRING (-111.9360151 33.429841,-111.9252591 33.4291343)"
2,A2,6,B1,0.5481878109655351,"LINESTRING (-111.9360151 33.429841,-111.9396172 33.4254476)"
2,A2,7,B2,0.45437728166438085,"LINESTRING (-111.9360151 33.429841,-111.9361081 33.4251329)"
2,A2,8,B3,0.6148962939749004,"LINESTRING (-111.9360151 33.429841,-111.9322211 33.4247208)"
2,A2,9,B4,0.7924780617126819,"LINESTRING (-111.9360151 33.429841,-111.9290482 33.4254918)"
2,A2,10,B5,1.191033941931665,"LINESTRING (-111.9360151 33.429841,-111.9246002 33.4251438)"
2,A2,11,C1,0.8647077044921783,"LINESTRING (-111.9360151 33.429841,-111.9400547 33.4218415)"
2,A2,12,C2,0.7564805125320317,"LINESTRING (-111.9360151 33.429841,-111.9360853 33.4220013)"
2,A2,13,C3,0.8601508433820382,"LINESTRING (-111.9360151 33.429841,-111.9323642 33.4217085)"
2,A2,14,C4,1.073006519038471,"LINESTRING (-111.9360151 33.429841,-111.9286819 33.4214811)"
2,A2,15,C5,1.312195450970986,"LINESTRING (-111.9360151 33.429841,-111.9249157 33.4219834)"
2,A2,16,D1,1.1692863667242515,"LINESTRING (-111.9360151 33.429841,-111.9396634 33.418285)"
2,A2,17,D2,1.149754255455535,"LINESTRING (-111.9360151 33.429841,-111.9362585 33.4179277)"
2,A2,18,D3,1.1652219341932615,"LINESTRING (-111.9360151 33.429841,-111.9325698 33.4182668)"
2,A2,19,D4,1.3313996745957979,"LINESTRING (-111.9360151 33.429841,-111.9285817 33.4182162)"
