poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,library,"1,000 Sq. Ft. GFA",1,8.16,0.1,1,0
1,dormitory,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
2,bar,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
3,retail,"1,000 Sq. Ft. GFA",1,0.1,6.84,0,1
4,,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
5,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
6,ramada,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
7,yes;roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
8,parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
9,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
10,post_office,"1,000 Sq. Ft. GFA",1,11.21,0.1,1,0
11,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
12,bus_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
13,toilets,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
14,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.48,0,1
15,cinema,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
16,commercial,"1,000 Sq. Ft. GFA",1,0.1,3.81,0,1
17,yes,"1,000 Sq. Ft. GFA",1,1.15,1.15,1,1
18,restaurant,"1,000 Sq. Ft. GFA",1,0.1,7.8,0,1
19,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
20,apartments;yes,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
21,townhall,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
22,fast_food,"1,000 Sq. Ft. GFA",1,0.1,14.13,0,1
23,theatre,"1,000 Sq. Ft. GFA",1,0.1,6.17,0,1
24,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
25,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
26,cafe,"1,000 Sq. Ft. GFA",1,0.1,36.31,0,1
27,carport,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
28,industrial,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
29,apartments;bridge,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
30,college,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
31,school,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
32,pharmacy,"1,000 Sq. Ft. GFA",1,10.29,0.1,1,0
33,community_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
34,roof;yes,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
35,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
36,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
37,commercial;residential,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
38,office,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
39,hospital,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
