zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count,total_production,total_attraction
1,A1,-111.94026764173961,33.429186144866605,"POLYGON ((-111.94210109075969 33.4274001095301,-111.94210109075969 33.431110109530096,-111.93819109075969 33.431110109530096,-111.93819109075969 33.4274001095301,-111.94210109075969 33.4274001095301))",POINT (-111.94026764173961 33.429186144866605),13,388.53674695644804,732.6713194135873
2,A2,-111.93601511505342,33.429841014099146,"POLYGON ((-111.93819109075969 33.4274001095301,-111.93819109075969 33.431110109530096,-111.93428109075968 33.431110109530096,-111.93428109075968 33.4274001095301,-111.93819109075969 33.4274001095301))",POINT (-111.93601511505342 33.429841014099146),1,96.18000644681598,96.18000644681598
3,A3,-111.93234730828432,33.4288298194734,"POLYGON ((-111.93428109075968 33.4274001095301,-111.93428109075968 33.431110109530096,-111.93037109075968 33.431110109530096,-111.93037109075968 33.4274001095301,-111.93428109075968 33.4274001095301))",POINT (-111.93234730828432 33.4288298194734),7,536.1587190545599,536.1587190545599
4,A4,-111.9286287199171,33.42879651021741,"POLYGON ((-111.93037109075968 33.4274001095301,-111.93037109075968 33.431110109530096,-111.92646109075967 33.431110109530096,-111.92646109075967 33.4274001095301,-111.93037109075968 33.4274001095301))",POINT (-111.9286287199171 33.42879651021741),9,230.92586600713597,746.9182051769088
5,A5,-111.92525908108719,33.429134332636664,"POLYGON ((-111.92646109075967 33.4274001095301,-111.92646109075967 33.431110109530096,-111.92255109075967 33.431110109530096,-111.92255109075967 33.4274001095301,-111.92646109075967 33.4274001095301))",POINT (-111.92525908108719 33.429134332636664),2,25.285824837952,604.3312136270529
6,B1,-111.93961723679206,33.42544763369258,"POLYGON ((-111.94210109075969 33.4236901095301,-111.94210109075969 33.4274001095301,-111.93819109075969 33.4274001095301,-111.93819109075969 33.4236901095301,-111.94210109075969 33.4236901095301))",POINT (-111.93961723679206 33.42544763369258),29,545.5877215784832,948.7124841466497
7,B2,-111.93610814443642,33.42513287225261,"POLYGON ((-111.93819109075969 33.4236901095301,-111.93819109075969 33.4274001095301,-111.93428109075968 33.4274001095301,-111.93428109075968 33.4236901095301,-111.93819109075969 33.4236901095301))",POINT (-111.93610814443642 33.42513287225261),29,189.76009797561602,425.13840170016
8,B3,-111.93222112392813,33.42472083770536,"POLYGON ((-111.93428109075968 33.4236901095301,-111.93428109075968 33.4274001095301,-111.93037109075968 33.4274001095301,-111.93037109075968 33.4236901095301,-111.93428109075968 33.4236901095301))",POINT (-111.93222112392813 33.42472083770536),5,809.1608722739519,1185.0290241212097
9,B4,-111.92904816354172,33.42549176996168,"POLYGON ((-111.93037109075968 33.4236901095301,-111.93037109075968 33.4274001095301,-111.92646109075967 33.4274001095301,-111.92646109075967 33.4236901095301,-111.93037109075968 33.4236901095301))",POINT (-111.92904816354172 33.42549176996168),14,89.344708064608,429.333259041696
10,B5,-111.92460017876932,33.42514381440744,"POLYGON ((-111.92646109075967 33.4236901095301,-111.92646109075967 33.4274001095301,-111.92255109075967 33.4274001095301,-111.92255109075967 33.4236901095301,-111.92646109075967 33.4236901095301))",POINT (-111.92460017876932 33.42514381440744),13,295.680151665184,807.3095550325248
