block_identifier,service_id,trip_id,trip_sequence
5959009,72695,47298628,1
5959009,72695,47298638,2
5959009,72695,47298631,3
5959009,72695,47298641,4
5959009,72695,47299041,5
5959009,72695,47299038,6
5959009,72695,47299696,7
5959009,72695,47299699,8
5959009,72695,47299697,9
5959009,72695,47299717,10
5959009,72695,47299716,11
5959009,72695,47299039,12
5959009,72695,47298633,13
5959009,72695,47298643,14
5959009,72695,47298636,15
5959009,72695,47298646,16
5959009,72695,47299719,17
5959009,72695,47299720,18
5959010,72695,47298629,1
5959010,72695,47298639,2
5959010,72695,47298632,3
5959010,72695,47299034,4
5959010,72695,47299042,5
5959010,72695,47299704,6
5959010,72695,47299706,7
5959010,72695,47299708,8
5959010,72695,47299715,9
5959010,72695,47299700,10
5959010,72695,47299035,11
5959010,72695,47298642,12
5959010,72695,47298635,13
5959010,72695,47298645,14
5959010,72695,47299718,15
5959010,72695,47299707,16
5959010,72695,47299721,17
5959010,72695,47299705,18
5959011,72695,47298630,1
5959011,72695,47298640,2
5959011,72695,47298647,3
5959011,72695,47299037,4
5959011,72695,47299709,5
5959011,72695,47299710,6
5959011,72695,47299711,7
5959011,72695,47299712,8
5959011,72695,47299713,9
5959011,72695,47299714,10
5959011,72695,47299036,11
5959011,72695,47299040,12
5959011,72695,47298634,13
5959011,72695,47298644,14
5959011,72695,47298637,15
5959011,72695,47299698,16
5959011,72695,47299722,17
5959011,72695,47299701,18
5959012,72695,47298677,1
5959012,72695,47298668,2
5959012,72695,47298678,3
5959012,72695,47298669,4
5959012,72695,47298674,5
5959012,72695,47298670,6
5959013,72695,47298671,1
5959013,72695,47298675,2
5959013,72695,47298672,3
5959013,72695,47298676,4
5959013,72695,47298673,5
5959013,72695,47298679,6
5959014,72695,47298938,1
5959014,72695,47298939,2
5959014,72695,47298887,3
5959014,72695,47298883,4
5959014,72695,47298888,5
5959014,72695,47298884,6
5959014,72695,47298889,7
5959014,72695,47298885,8
5959014,72695,47298891,9
5959014,72695,47298886,10
5959014,72695,47298890,11
5959014,72695,47298933,12
5959015,72695,47298703,1
5959015,72695,47298702,2
5959015,72695,47298706,3
5959015,72695,47298701,4
5959015,72695,47298709,5
5959015,72695,47298945,6
5959015,72695,47298946,7
5959015,72695,47298944,8
5959015,72695,47298713,9
5959016,72695,47298943,1
5959016,72695,47298942,2
5959016,72695,47298899,3
5959016,72695,47298901,4
5959016,72695,47298900,5
5959016,72695,47298902,6
5959016,72695,47298898,7
5959016,72695,47298910,8
5959016,72695,47298921,9
5959016,72695,47298911,10
5959016,72695,47298922,11
5959016,72695,47298912,12
5959016,72695,47298968,13
5959017,72695,47299032,1
5959017,72695,47298941,2
5959017,72695,47298940,3
5959017,72695,47298918,4
5959017,72695,47298908,5
5959017,72695,47298919,6
5959017,72695,47298909,7
5959017,72695,47298920,8
5959017,72695,47298903,9
5959017,72695,47298897,10
5959017,72695,47298904,11
5959017,72695,47298930,12
5959017,72695,47299152,13
5959018,72695,47299156,1
5959018,72695,47299157,2
5959018,72695,47299158,5
5959018,72695,47299159,6
5959018,72695,47299160,9
5959018,72695,47299161,10
5959018,72695,47299162,13
5959018,72695,47299163,14
5959018,72695,47299164,17
5959018,72695,47299165,18
5959019,72695,47299168,1
5959019,72695,47299169,2
5959019,72695,47299170,5
5959019,72695,47299171,6
5959019,72695,47299172,9
5959019,72695,47299173,10
5959019,72695,47299174,13
5959019,72695,47299175,14
5959020,72695,47299205,1
5959020,72695,47299206,2
5959020,72695,47299207,3
5959020,72695,47299208,4
5959020,72695,47299209,5
5959021,72695,47299180,1
5959021,72695,47299181,2
5959021,72695,47299182,3
5959021,72695,47299183,4
5959021,72695,47299184,5
5959021,72695,47299185,6
5959021,72695,47299186,7
5959021,72695,47299187,8
5959021,72695,47299188,9
5959021,72695,47299189,10
5959021,72695,47299190,11
5959021,72695,47299191,12
5959021,72695,47299192,13
5959021,72695,47299193,14
5959021,72695,47299194,15
5959021,72695,47299195,16
5959021,72695,47299196,17
5959021,72695,47299197,18
5959021,72695,47299198,19
5959021,72695,47299199,20
5959021,72695,47299200,21
5959021,72695,47299201,22
5959021,72695,47299202,23
5959021,72695,47299203,24
5959021,72695,47299204,25
5959022,72695,47299210,1
5959022,72695,47299211,2
5959022,72695,47299212,3
5959022,72695,47299213,4
5959022,72695,47299214,5
5959023,72695,47299215,1
5959023,72695,47299218,4
5959023,72695,47299219,5
5959023,72695,47299222,8
5959023,72695,47299223,9
5959023,72695,47299226,12
5959023,72695,47299227,13
5959023,72695,47299230,16
5959023,72695,47299231,17
5959023,72695,47299234,20
5959023,72695,47299235,21
5959023,72695,47299238,24
5959023,72695,47299239,25
5959023,72695,47299242,28
5959023,72695,47299243,29
5959023,72695,47299246,32
5959023,72695,47299247,33
5959023,72695,47299250,36
5959023,72695,47299251,37
5959024,72695,47299071,1
5959024,72695,47299072,2
5959024,72695,47299073,3
5959024,72695,47299074,4
5959024,72695,47299075,5
5959024,72695,47299076,6
5959024,72695,47299077,7
5959024,72695,47299078,8
5959024,72695,47299079,9
5959024,72695,47299080,10
5959024,72695,47299081,11
5959024,72695,47299082,12
5959024,72695,47299083,13
5959024,72695,47299084,14
5959024,72695,47299363,15
5959024,72695,47299353,16
5959024,72695,47299357,17
5959024,72695,47299358,18
5959024,72695,47299375,19
5959024,72695,47299368,20
5959024,72695,47299361,21
5959024,72695,47299362,22
5959024,72695,47299352,23
5959024,72695,47299354,24
5959024,72695,47299355,25
5959024,72695,47299359,26
5959024,72695,47299369,27
5959024,72695,47299372,28
5959024,72695,47299356,29
5959024,72695,47299367,30
5959024,72695,47299364,31
5959024,72695,47299360,32
5959024,72695,47299366,33
5959024,72695,47299365,34
5959024,72695,47299351,35
5959024,72695,47299350,36
5959024,72695,47299347,37
5959024,72695,47299349,38
5959024,72695,47299346,39
5959024,72695,47299348,40
5959024,72695,47299345,41
5959024,72695,47299342,42
5959024,72695,47299344,43
5959024,72695,47299374,44
5959024,72695,47299343,45
5959024,72695,47299341,46
5959024,72695,47299340,47
5959024,72695,47299370,48
5959024,72695,47299339,49
5959024,72695,47299338,50
5959024,72695,47299373,51
5959024,72695,47299337,52
5959025,72695,47299085,1
5959025,72695,47299086,2
5959025,72695,47299087,3
5959025,72695,47299088,4
5959025,72695,47299089,5
5959025,72695,47299090,6
5959025,72695,47299091,7
5959025,72695,47299092,8
5959025,72695,47299093,9
5959025,72695,47299094,10
5959025,72695,47299095,11
5959025,72695,47299096,12
5959025,72695,47299097,13
5959025,72695,47299098,14
5959026,72695,47299259,1
5959026,72695,47299260,2
5959026,72695,47299261,3
5959026,72695,47299262,4
5959026,72695,47299263,5
5959027,72695,47299377,1
5959027,72695,47299378,2
5959027,72695,47299379,3
5959027,72695,47299380,4
5959027,72695,47299381,5
5959027,72695,47299382,6
5959027,72695,47299383,7
5959027,72695,47299384,8
5959027,72695,47299385,9
5959027,72695,47299386,10
5959027,72695,47299387,11
5959027,72695,47299388,12
5959027,72695,47299389,13
5959027,72695,47299390,14
5959027,72695,47299391,15
5959027,72695,47299392,16
5959027,72695,47299393,17
5959028,72695,47299436,1
5959028,72695,47299437,4
5959028,72695,47299438,5
5959028,72695,47299439,8
5959028,72695,47299440,9
5959028,72695,47299441,12
5959028,72695,47299442,13
5959028,72695,47299443,16
5959028,72695,47299444,17
5959028,72695,47299445,20
5959028,72695,47299446,21
5959029,72695,47299469,1
5959029,72695,47299470,2
5959029,72695,47299471,5
5959029,72695,47299472,6
5959029,72695,47299473,9
5959029,72695,47299474,10
5959029,72695,47299475,13
5959029,72695,47299476,14
5959029,72695,47299477,17
5959029,72695,47299478,18
5959029,72695,47299479,21
5959029,72695,47299480,22
5959029,72695,47299481,25
5959029,72695,47299482,26
5959029,72695,47299447,27
5959029,72695,47299448,28
5959029,72695,47299449,31
5959029,72695,47299450,32
5959029,72695,47299451,35
5959029,72695,47299452,36
5959029,72695,47299516,37
5959029,72695,47299517,38
5959029,72695,47299518,41
5959029,72695,47299519,42
5959029,72695,47299520,45
5959029,72695,47299521,46
5959030,72695,47299501,1
5959030,72695,47299502,4
5959030,72695,47299503,5
5959030,72695,47299504,8
5959030,72695,47299505,9
5959030,72695,47299506,12
5959030,72695,47299507,13
5959030,72695,47299508,16
5959030,72695,47299509,17
5959030,72695,47299510,20
5959030,72695,47299511,21
5959030,72695,47299512,24
5959030,72695,47299513,25
5959030,72695,47299514,26
5959030,72695,47299515,27
5959030,72695,47299483,28
5959030,72695,47299484,29
5959030,72695,47299485,32
5959030,72695,47299486,33
5959030,72695,47299487,36
5959030,72695,47299488,37
5959030,72695,47299453,40
5959030,72695,47299454,41
5959030,72695,47299455,44
5959030,72695,47299456,45
