node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id,activity_type,is_boundary
0,,-122.30462,47.64781,,,,,primary,0
1,,-122.30143,47.65832,,,,,primary,0
2,,-122.30212,47.65601,,,,,primary,0
3,,-122.30389,47.65107,,,,,service,0
4,,-122.30455,47.64951,,,,,primary,0
5,,-122.32242,47.6467,,,,,motorway,1
6,,-122.32289,47.64671,,,,,motorway,1
7,,-122.32233,47.65629,,,,,motorway,0
8,,-122.32215,47.65843,,,,,motorway,0
9,,-122.32197,47.65842,,,,,motorway,0
10,,-122.32167,47.65986,,,,,motorway,0
11,,-122.32115,47.66033,,,,,motorway,0
12,,-122.32094,47.6605,,,,,secondary,0
13,,-122.32081,47.66086,,,,,secondary,0
14,,-122.32072,47.66495,,,,,secondary,0
15,,-122.32158,47.66363,,,,,motorway,0
16,,-122.32178,47.6659,,,,,motorway,0
17,,-122.32083,47.65752,,,,,tertiary,0
18,,-122.32286,47.66134,,,,,secondary,0
19,,-122.32249,47.6608,,,,,motorway,0
20,,-122.32267,47.65802,,,,,motorway,0
21,,-122.32286,47.66497,,,,,secondary,0
22,,-122.32286,47.66202,,,,,secondary,0
23,,-122.32142,47.65735,,,,,motorway,0
24,,-122.32245,47.6557,,,,,motorway,0
25,,-122.32073,47.66528,,,,,secondary,0
26,,-122.32274,47.6624,,,,,motorway,0
27,,-122.32249,47.66299,,,,,motorway,0
28,,-122.32074,47.66172,,,,,secondary,0
38,,-122.31232,47.65312,,,,,footway,0
48,,-122.29562,47.66449,,,,,secondary,0
51,,-122.30836,47.65652,,,,,service,0
54,,-122.30551,47.65844,,,,,tertiary,0
63,,-122.30508,47.6544,,,,,tertiary,0
64,,-122.30966,47.65976,,,,,tertiary,0
65,,-122.30724,47.65961,,,,,tertiary,0
66,,-122.30508,47.65807,,,,,tertiary,0
67,,-122.30453,47.65783,,,,,tertiary,0
68,,-122.3046,47.65736,,,,,tertiary,0
69,,-122.3048,47.65679,,,,,tertiary,0
70,,-122.30463,47.655,,,,,tertiary,0
71,,-122.31043,47.65324,,,,,tertiary,0
72,,-122.31043,47.65339,,,,,tertiary,0
82,,-122.31102,47.65506,,,,,tertiary,0
83,,-122.31122,47.65514,,,,,tertiary,0
84,,-122.31186,47.65534,,,,,tertiary,0
86,,-122.30969,47.65745,,,,,tertiary,0
87,,-122.30182,47.66015,,,,,tertiary,0
88,,-122.30243,47.66124,,,,,secondary,0
89,,-122.29943,47.66124,,,,,secondary,0
90,,-122.29923,47.66122,,,,,secondary,0
91,,-122.29831,47.66107,,,,,secondary,0
93,,-122.29963,47.66065,,,,,primary,0
94,,-122.30018,47.6603,,,,,footway,0
95,,-122.30099,47.6594,,,,,primary,0
96,,-122.30272,47.65413,,,,,primary,0
97,,-122.30356,47.65762,,,,,tertiary,0
98,,-122.30244,47.65874,,,,,tertiary,0
99,,-122.30124,47.66043,,,,,tertiary,0
100,,-122.30091,47.6605,,,,,secondary,0
101,,-122.30035,47.6605,,,,,secondary,0
103,,-122.3167,47.65764,,,,,secondary,0
104,,-122.31247,47.65299,,,,,secondary,0
105,,-122.31192,47.65272,,,,,secondary,0
107,,-122.33869,47.64693,,,,,tertiary,0
108,,-122.3309,47.65048,,,,,tertiary,0
109,,-122.33042,47.65093,,,,,tertiary,0
110,,-122.32779,47.65317,,,,,tertiary,0
111,,-122.32571,47.65378,,,,,tertiary,0
112,,-122.32356,47.65397,,,,,tertiary,0
113,,-122.32254,47.65552,,,,,tertiary,0
114,,-122.32265,47.6467,,,,,motorway,1
115,,-122.32248,47.65397,,,,,motorway,0
117,,-122.29282,47.66121,,,,,secondary,0
119,,-122.3144,47.65622,,,,,tertiary,0
120,,-122.31205,47.65619,,,,,secondary,0
121,,-122.31328,47.6562,,,,,tertiary,0
122,,-122.31338,47.6536,,,,,tertiary,0
123,,-122.31337,47.65344,,,,,secondary,0
124,,-122.31518,47.6536,,,,,secondary,0
125,,-122.31451,47.65359,,,,,secondary,0
126,,-122.31448,47.65421,,,,,tertiary,0
127,,-122.30061,47.66618,,,,,primary,0
128,,-122.32104,47.66227,,,,,motorway,0
129,,-122.32246,47.65734,,,,,motorway,0
130,,-122.30784,47.65066,,,,,secondary,0
131,,-122.30458,47.64902,,,,,primary,0
132,,-122.30441,47.64998,,,,,primary,0
134,,-122.30594,47.65032,,,,,service,1
135,,-122.30644,47.65055,,,,,secondary,0
136,,-122.30337,47.65093,,,,,service,0
137,,-122.30343,47.65085,,,,,service,0
138,,-122.30458,47.65096,,,,,secondary,0
139,,-122.30413,47.65064,,,,,primary,0
140,,-122.30349,47.6518,,,,,primary,0
141,,-122.30309,47.65291,,,,,primary,0
144,,-122.30304,47.65268,,,,,primary,0
146,,-122.29726,47.66122,,,,,service,0
147,,-122.29668,47.66122,,,,,service,0
148,,-122.29622,47.66122,,,,,primary,0
149,,-122.301,47.65906,,,,,primary,0
150,,-122.30093,47.66039,,,,,primary,0
151,,-122.29941,47.66075,,,,,primary,0
152,,-122.29871,47.66126,,,,,secondary,0
153,,-122.28933,47.66113,,,,,primary,0
155,,-122.31885,47.65441,,,,,secondary,0
156,,-122.31946,47.6545,,,,,secondary,0
157,,-122.3198,47.65454,,,,,secondary,0
158,,-122.32033,47.65451,,,,,secondary,0
159,,-122.32087,47.65447,,,,,secondary,0
160,,-122.32254,47.65449,,,,,secondary,0
161,,-122.31533,47.65364,,,,,secondary,0
162,,-122.31692,47.65367,,,,,secondary,0
163,,-122.31894,47.65432,,,,,secondary,0
164,,-122.31688,47.65359,,,,,secondary,0
165,,-122.31533,47.65356,,,,,secondary,0
166,,-122.30479,47.6493,,,,,secondary,0
167,,-122.30507,47.64926,,,,,secondary,0
168,,-122.30484,47.64914,,,,,secondary,0
169,,-122.31443,47.65535,,,,,tertiary,0
170,,-122.31206,47.65534,,,,,tertiary,0
171,,-122.3209,47.65579,,,,,tertiary,0
172,,-122.31459,47.65184,,,,,tertiary,0
173,,-122.31371,47.65159,,,,,tertiary,0
174,,-122.31293,47.65087,,,,,tertiary,0
175,,-122.31272,47.6508,,,,,unclassified,0
177,,-122.32192,47.6549,,,,,unclassified,0
181,,-122.32086,47.65544,,,,,unclassified,0
182,,-122.31981,47.65532,,,,,service,0
183,,-122.31562,47.65537,,,,,unclassified,0
184,,-122.31565,47.65474,,,,,service,0
186,,-122.31784,47.65541,,,,,tertiary,0
188,,-122.31224,47.64978,,,,,unclassified,0
190,,-122.30675,47.64845,,,,,service,0
191,,-122.30809,47.65204,,,,,tertiary,0
192,,-122.30693,47.65452,,,,,service,0
200,,-122.30641,47.65382,,,,,service,0
201,,-122.3074,47.65519,,,,,service,0
202,,-122.30515,47.65359,,,,,tertiary,0
205,,-122.30718,47.65487,,,,,service,0
206,,-122.31041,47.65408,,,,,tertiary,0
213,,-122.30689,47.65939,,,,,tertiary,0
214,,-122.30967,47.6581,,,,,tertiary,0
218,,-122.31135,47.6552,,,,,tertiary,0
219,,-122.31136,47.65681,,,,,unclassified,0
221,,-122.30967,47.65856,,,,,tertiary,0
222,,-122.30731,47.65592,,,,,service,0
226,,-122.30272,47.65813,,,,,tertiary,0
227,,-122.30252,47.65788,,,,,unclassified,0
228,,-122.30264,47.65671,,,,,unclassified,0
229,,-122.30264,47.65637,,,,,unclassified,0
230,,-122.30288,47.65505,,,,,unclassified,0
234,,-122.30621,47.65235,,,,,tertiary,0
236,,-122.30401,47.65447,,,,,service,0
239,,-122.29982,47.65544,,,,,unclassified,0
240,,-122.30026,47.65257,,,,,unclassified,0
242,,-122.29908,47.65071,,,,,unclassified,0
243,,-122.29938,47.64943,,,,,unclassified,0
245,,-122.29388,47.65955,,,,,unclassified,0
246,,-122.30094,47.65561,,,,,tertiary,0
247,,-122.30232,47.65504,,,,,tertiary,0
248,,-122.30251,47.65486,,,,,primary,0
250,,-122.30869,47.65976,,,,,tertiary,0
