node_id,x_coord,y_coord,meso_link_id,lane_no,activity_type,is_boundary
4,-122.30455,47.64775,0,1,,0
5,-122.30459,47.64775,0,2,,0
6,-122.30464,47.64775,0,3,,0
7,-122.30468,47.64775,0,4,,0
8,-122.30454,47.64769,0,1,,0
9,-122.30459,47.64769,0,2,,0
10,-122.30464,47.64769,0,3,,0
11,-122.30468,47.64769,0,4,,0
13,-122.32231,47.65635,1,1,,0
14,-122.3223,47.65641,1,1,,0
15,-122.32228,47.65648,1,1,,0
16,-122.32226,47.65654,1,1,,0
17,-122.32225,47.6566,1,1,,0
18,-122.32223,47.65666,1,1,,0
19,-122.32222,47.65672,1,1,,0
22,-122.3222,47.65682,1,1,,0
23,-122.32218,47.65688,1,1,,0
24,-122.32217,47.65694,1,1,,0
25,-122.32216,47.65701,1,1,,0
26,-122.32215,47.65707,1,1,,0
27,-122.32214,47.65713,1,1,,0
28,-122.32213,47.65719,1,1,,0
29,-122.32211,47.65726,1,1,,0
30,-122.3221,47.65732,1,1,,0
33,-122.32209,47.65743,1,1,,0
34,-122.32208,47.65749,1,1,,0
35,-122.32207,47.65756,1,1,,0
36,-122.32206,47.65762,1,1,,0
37,-122.32206,47.65768,1,1,,0
38,-122.32205,47.65774,1,1,,0
39,-122.32204,47.65781,1,1,,0
40,-122.32204,47.65787,1,1,,0
41,-122.32203,47.65793,1,1,,0
42,-122.32202,47.658,1,1,,0
43,-122.32201,47.65806,1,1,,0
44,-122.32201,47.65812,1,1,,0
45,-122.322,47.65818,1,1,,0
46,-122.32199,47.65825,1,1,,0
47,-122.32198,47.65831,1,1,,0
48,-122.32198,47.65837,1,1,,0
49,-122.32197,47.65842,1,1,,0
50,-122.32221,47.65676,1,1,,0
51,-122.32209,47.65737,1,1,,0
53,-122.32197,47.65848,2,1,,0
54,-122.32198,47.65855,2,1,,0
55,-122.32198,47.65861,2,1,,0
56,-122.32198,47.65867,2,1,,0
59,-122.32198,47.65882,2,1,,0
60,-122.32197,47.65888,2,1,,0
61,-122.32197,47.65894,2,1,,0
62,-122.32196,47.65901,2,1,,0
63,-122.32196,47.65907,2,1,,0
64,-122.32195,47.65913,2,1,,0
65,-122.32195,47.65919,2,1,,0
66,-122.32194,47.65926,2,1,,0
67,-122.32194,47.65932,2,1,,0
68,-122.32193,47.65938,2,1,,0
69,-122.32193,47.65945,2,1,,0
70,-122.32192,47.65951,2,1,,0
71,-122.32192,47.65957,2,1,,0
72,-122.32191,47.65963,2,1,,0
73,-122.32191,47.6597,2,1,,0
74,-122.3219,47.65976,2,1,,0
75,-122.3219,47.65982,2,1,,0
76,-122.32189,47.65989,2,1,,0
77,-122.32189,47.65995,2,1,,0
78,-122.32188,47.66001,2,1,,0
79,-122.32188,47.66007,2,1,,0
80,-122.32187,47.66014,2,1,,0
81,-122.32187,47.6602,2,1,,0
82,-122.32186,47.66026,2,1,,0
83,-122.32186,47.66033,2,1,,0
84,-122.32185,47.66039,2,1,,0
