name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
Montlake Boulevard Northeast,0,4636201,0,1479,,13.556060795222248,4,30,,primary,3,"LINESTRING (-122.3046164 47.6478106, -122.3046138 47.6476887)",walk,0
,1,4637378,5,7,,238.49554766657766,1,59,,motorway,1,"LINESTRING (-122.3223299 47.6562897, -122.3222072 47.6567558, -122.3220941 47.6573678, -122.3219713 47.6584193)",walk,0
,2,4637399,7,6724,,565.5885516901682,1,59,,motorway,1,"LINESTRING (-122.3219713 47.6584193, -122.3219814 47.6587537, -122.3217984 47.6611043, -122.3217811 47.6612852, -122.321765 47.6613972, -122.3217463 47.6614878, -122.3217225 47.6615849, -122.321691 47.661681, -122.3216519 47.6617758, -122.3216053 47.6618691, -122.3215513 47.6619605, -122.3210439 47.6627489, -122.3210067 47.6628202, -122.3209766 47.662893, -122.3209537 47.662967, -122.3209381 47.6630419, -122.32093 47.6631173, -122.320896 47.6634)",walk,0
,3,4637401,8,9,,65.70512725274571,2,59,,motorway,1,"LINESTRING (-122.3216691 47.6598573, -122.3216138 47.659932, -122.3215754 47.6599803, -122.3215225 47.6600302, -122.321467 47.6600791, -122.3211533 47.6603323)",walk,0
,4,4637402,7,8,,162.01898336664829,2,59,,motorway,1,"LINESTRING (-122.3219713 47.6584193, -122.3218927 47.6587447, -122.3217865 47.6595444, -122.3217735 47.6596253, -122.3217493 47.6597052, -122.3217161 47.6597794, -122.3216691 47.6598573)",walk,0
,5,4644164,15,4024,,38.66779435589986,2,59,,motorway,1,"LINESTRING (-122.3214226 47.6573538, -122.3213589 47.6573961, -122.3212872 47.6574238, -122.321164 47.6574636, -122.3210383 47.6574874, -122.3209629 47.6574978)",walk,1
,6,4644164,4024,15,,38.66779435589986,1,59,,motorway,1,"LINESTRING (-122.3209629 47.6574978, -122.3210383 47.6574874, -122.321164 47.6574636, -122.3212872 47.6574238, -122.3213589 47.6573961, -122.3214226 47.6573538)",walk,1
,7,4644164,4024,12,,9.867420017253984,2,59,,motorway,1,"LINESTRING (-122.3209629 47.6574978, -122.3208338 47.6575155)",walk,1
,8,4644164,12,4024,,9.867420017253984,1,59,,motorway,1,"LINESTRING (-122.3208338 47.6575155, -122.3209629 47.6574978)",walk,1
Ship Canal Bridge,9,4644167,6725,1089,,75.2059776689409,4,60,,motorway,1,"LINESTRING (-122.3224162 47.6471, -122.3224048 47.6477763)",walk,0
Ship Canal Bridge,10,4644167,1089,5,,946.7207294470426,4,60,,motorway,1,"LINESTRING (-122.3224048 47.6477763, -122.3224352 47.6492751, -122.3223482 47.6560075, -122.3223299 47.6562897)",walk,0
,11,4644170,16,784,,159.65873893435156,1,59,,motorway,1,"LINESTRING (-122.3224548 47.6556961, -122.3223491 47.6560351, -122.3222443 47.6563216, -122.3221283 47.6565476, -122.3220115 47.6566937, -122.3217318 47.6570344)",walk,1
,12,4644170,784,16,,159.65873893435156,1,59,,motorway,1,"LINESTRING (-122.3217318 47.6570344, -122.3220115 47.6566937, -122.3221283 47.6565476, -122.3222443 47.6563216, -122.3223491 47.6560351, -122.3224548 47.6556961)",walk,1
Ship Canal Bridge,13,4644173,6726,90,,764.0023496427784,2,60,,motorway,1,"LINESTRING (-122.3226342 47.6471, -122.3225758 47.6485001, -122.3225385 47.6511199, -122.3224808 47.6539699)",walk,1
Ship Canal Bridge,14,4644173,90,6726,,764.0023496427784,2,60,,motorway,1,"LINESTRING (-122.3224808 47.6539699, -122.3225385 47.6511199, -122.3225758 47.6485001, -122.3226342 47.6471)",walk,1
,15,4644190,17,6727,,61.37863678225111,1,40,,motorway,1,"LINESTRING (-122.3224858 47.6629897, -122.3224978 47.6628668, -122.3225475 47.6627368, -122.3226507 47.6625489, -122.3227 47.6624607)",walk,0
,16,4644191,6728,17,,45.62859401304135,1,40,,motorway,1,"LINESTRING (-122.3224765 47.6634, -122.3224858 47.6629897)",walk,0
,17,4644194,18,384,,41.656588124691524,1,59,,motorway,1,"LINESTRING (-122.3207388 47.661721, -122.320766 47.6617745, -122.3207993 47.6618377, -122.3208409 47.6619099, -122.3209357 47.6620713)",walk,0
Burke-Gilman Trail,18,4704942,31,92,,42.273712528244154,1,9,,cycleway,8,"LINESTRING (-122.291953 47.6619581, -122.2914658 47.6617661)",walk,0
Pierce Lane,19,4705085,32,1342,,11.527716573157804,1,4,,footway,9,"LINESTRING (-122.308816 47.6561741, -122.3087667 47.6562124, -122.3087122 47.6562506)",walk,0
Spokane Lane Northeast,20,4705086,33,4609,,24.468045261695433,1,4,,footway,9,"LINESTRING (-122.3083638 47.656524, -122.3081334 47.656368)",walk,0
Spokane Lane Northeast,21,4705086,4609,2959,,38.01001491015132,1,4,,footway,9,"LINESTRING (-122.3081334 47.656368, -122.3077832 47.6561206)",walk,0
Spokane Lane Northeast,22,4705086,2959,2877,,15.308255200093846,1,4,,footway,9,"LINESTRING (-122.3077832 47.6561206, -122.3076421 47.656021)",walk,0
Spokane Lane Northeast,23,4705086,2877,2955,,1.2671338498288145,1,4,,footway,9,"LINESTRING (-122.3076421 47.656021, -122.3076302 47.6560129)",walk,0
Spokane Lane Northeast,24,4705086,2955,4380,,23.150863424238654,1,4,,footway,9,"LINESTRING (-122.3076302 47.6560129, -122.3075356 47.6559489, -122.3073638 47.6559264)",walk,0
,25,4705087,38,39,,60.09735777573606,1,4,,footway,9,"LINESTRING (-122.306521 47.6557049, -122.3057308 47.6556111)",walk,0
,26,4705087,39,1269,,14.841150195179944,1,4,,footway,9,"LINESTRING (-122.3057308 47.6556111, -122.305538 47.6555803)",walk,0
Northeast Grant Lane,27,4705089,38,976,,11.412399662030493,1,4,,footway,9,"LINESTRING (-122.306521 47.6557049, -122.3066684 47.6556789)",walk,0
Northeast Grant Lane,28,4705089,976,1691,,12.533882760547513,1,4,,footway,9,"LINESTRING (-122.3066684 47.6556789, -122.3068217 47.6556337)",walk,0
Memorial Way Northeast,29,4708342,6204,1442,,10.020704100699502,2,20,,tertiary,5,"LINESTRING (-122.3097324 47.6612523, -122.3097303 47.661183, -122.3097297 47.6611622)",walk,0
