node_id,zone_id,x_coord,y_coord,original_node_id,activity_type,is_boundary
1634500,,-122.30905,47.65697,16345,,0
1634600,,-122.30448,47.66306,16346,,0
1634700,,-122.30083,47.66493,16347,,0
1634800,,-122.30466,47.6618,16348,,0
1634900,,-122.32407,47.65894,16349,,0
1635000,,-122.32788,47.65369,16350,,0
1635100,,-122.3303,47.65194,16351,,0
1635200,,-122.30171,47.66441,16352,,0
1635300,,-122.31789,47.64781,16353,,0
1635400,,-122.31818,47.64814,16354,,0
1635500,,-122.31829,47.64825,16355,,0
1635800,,-122.31848,47.64846,16358,,0
1635900,,-122.29554,47.6637,16359,,0
1636000,,-122.29496,47.66322,16360,,0
1636100,,-122.30556,47.66498,16361,,0
1636200,,-122.31955,47.664,16362,,0
1636300,,-122.31727,47.6569,16363,,0
1636400,,-122.32456,47.65544,16364,,0
1636500,,-122.31897,47.664,16365,,0
1636600,,-122.29763,47.66305,16366,,0
1636700,,-122.29978,47.66637,16367,,0
1636900,,-122.3147,47.66467,16369,,0
1637000,,-122.32302,47.65894,16370,,0
1637100,,-122.29693,47.66337,16371,,0
1637200,,-122.30251,47.66538,16372,,0
1637300,,-122.3065,47.66645,16373,,0
1637400,,-122.297,47.66393,16374,,0
1637500,,-122.31345,47.65404,16375,,0
1637600,,-122.31433,47.65486,16376,,0
1637700,,-122.29792,47.65841,16377,,0
1637900,,-122.3128,47.65424,16379,,0
1638000,,-122.33343,47.64691,16380,,0
1638100,,-122.3257,47.65442,16381,,0
1638200,,-122.32338,47.66145,16382,,0
1638300,,-122.31743,47.66493,16383,,0
1638400,,-122.31435,47.65939,16384,,0
1638500,,-122.32279,47.6519,16385,,0
1638600,,-122.29343,47.66135,16386,,0
1638700,,-122.31387,47.65465,16387,,0
1638800,,-122.31797,47.66486,16388,,0
1638900,,-122.31853,47.66194,16389,,0
1639000,,-122.31853,47.66179,16390,,0
1639100,,-122.31853,47.66165,16391,,0
1639200,,-122.31853,47.66149,16392,,0
1639300,,-122.31947,47.66149,16393,,0
1639400,,-122.31947,47.66174,16394,,0
1639500,,-122.31683,47.65654,16395,,0
1639600,,-122.3159,47.65479,16396,,0
1639700,,-122.31611,47.65484,16397,,0
1639800,,-122.31633,47.65489,16398,,0
1639900,,-122.31321,47.66459,16399,,0
1640000,,-122.3083,47.66488,16400,,0
1640100,,-122.29686,47.66285,16401,,0
1640200,,-122.32683,47.65356,16402,,0
1640300,,-122.33194,47.64906,16403,,0
1640400,,-122.30078,47.66589,16404,,0
1640500,,-122.307,47.64847,16405,,0
1640600,,-122.2919,47.66176,16406,,0
1640700,,-122.29157,47.66118,16407,,0
1640800,,-122.29324,47.66171,16408,,0
1640900,,-122.3009,47.66319,16409,,0
1641000,,-122.30348,47.65453,16410,,0
1641100,,-122.31067,47.65738,16411,,0
1641200,,-122.30625,47.65896,16412,,0
1641300,,-122.32316,47.64868,16413,,0
1641500,,-122.33811,47.64685,16415,,0
1641600,,-122.30255,47.65759,16416,,0
1641700,,-122.31794,47.6563,16417,,0
1641800,,-122.31739,47.65544,16418,,0
1641900,,-122.3182,47.65543,16419,,0
1642000,,-122.31742,47.666,16420,,0
1642100,,-122.31776,47.66019,16421,,0
1642200,,-122.31776,47.66002,16422,,0
1642300,,-122.31778,47.65921,16423,,0
1642400,,-122.31401,47.6653,16424,,0
1642500,,-122.30941,47.66451,16425,,0
1642600,,-122.29788,47.66147,16426,,0
1642700,,-122.29442,47.65956,16427,,0
1643000,,-122.30399,47.66309,16430,,0
1643200,,-122.30835,47.6631,16432,,0
1643300,,-122.31778,47.6613,16433,,0
1643400,,-122.3334,47.6482,16434,,0
1643500,,-122.3167,47.6576,16435,,0
1643700,,-122.30551,47.65433,16437,,0
1643800,,-122.31333,47.66601,16438,,0
1643900,,-122.31777,47.65946,16439,,0
1644000,,-122.31599,47.66178,16440,,0
1644100,,-122.3132,47.66471,16441,,0
1644200,,-122.3147,47.6645,16442,,0
1644500,,-122.31434,47.6645,16445,,0
1644800,,-122.31432,47.66467,16448,,0
1645100,,-122.31503,47.66136,16451,,0
1645200,,-122.31534,47.66171,16452,,0
1645500,,-122.31437,47.6618,16455,,0
1645800,,-122.31436,47.66226,16458,,0
1645900,,-122.32139,47.65599,16459,,0
1646000,,-122.32181,47.65642,16460,,0
1646100,,-122.31377,47.65953,16461,,0
1646200,,-122.31332,47.65912,16462,,0
1646500,,-122.31425,47.65893,16465,,0
