block_seq_num,block_var_num,block_route_num,block_run_num
5959009,1,930,1
5959010,1,930,2
5959011,1,930,3
5959012,1,975,1
5959013,1,975,2
5959014,1,973,1
5959015,1,907,1
5959016,1,773,1
5959017,1,775,1
5959018,1,629,1
5959019,1,629,2
5959020,1,204,2
5959021,1,204,1
5959022,1,204,3
5959023,1,224,1
5959024,1,635,1
5959025,1,635,2
5959026,1,627,1
5959027,1,635,3
5959028,1,903,1
5959029,1,903,2
5959030,1,903,3
5959031,1,903,4
5959032,1,903,6
5959033,1,903,5
5959035,1,906,2
5959036,1,906,1
5959037,1,906,5
5959038,1,906,8
5959039,1,906,3
5959040,1,906,6
5959041,1,906,7
5959042,1,906,4
5959043,1,914,1
5959044,1,914,2
5959045,1,914,3
5959046,1,915,2
5959047,1,915,1
5959048,1,915,3
5959049,1,915,4
5959050,1,915,5
5959051,1,917,1
5959052,1,917,2
5959053,1,773,2
5959054,1,775,2
5959055,1,973,2
5959056,1,907,2
5959057,1,631,1
5959058,1,631,2
5959059,1,903,1
5959060,1,903,2
5959062,1,906,1
5959063,1,906,2
5959064,1,917,1
5959065,1,915,1
5959066,1,906,1
5959067,1,906,2
5959068,1,903,2
5959069,1,903,1
5959070,1,635,1
5959072,1,914,1
5959073,1,914,2
5959074,1,917,1
5959344,1,111,3
5959345,1,183,3
5959346,1,182,2
5959347,1,111,7
5959348,1,183,1
5959349,1,111,6
5959350,1,111,16
5959351,1,111,13
5959352,1,111,15
5959353,1,182,1
5959354,1,111,12
5959355,1,183,5
5959356,1,111,1
5959357,1,183,6
5959358,1,183,4
5959359,1,111,4
5959360,1,111,8
5959361,1,111,11
5959362,1,182,5
5959363,1,182,3
5959364,1,671,7
5959365,1,671,6
5959366,1,671,5
5959367,1,671,4
5959368,1,671,3
5959369,1,671,2
5959370,1,671,1
5959371,1,193,9
5959372,1,193,8
5959373,1,183,9
5959374,1,193,7
5959375,1,193,5
5959376,1,193,4
5959377,1,193,3
5959378,1,193,2
5959379,1,193,1
5959380,1,111,14
5959381,1,181,3
5959382,1,181,6
5959383,1,181,7
5959384,1,676,12
5959385,1,676,10
5959386,1,676,7
5959387,1,676,8
5959388,1,676,6
5959389,1,676,5
5959390,1,676,4
5959391,1,676,3
5959392,1,676,2
5959393,1,676,1
5959394,1,111,5
5959395,1,193,6
5959396,1,676,11
5959397,1,676,9
5959398,1,671,8
5959399,1,671,11
5959400,1,107,1
5959401,1,107,2
5959402,1,107,4
5959403,1,107,3
5959404,1,107,5
5959405,1,107,6
5959406,1,107,7
5959407,1,107,8
5959408,1,107,9
5959409,1,107,10
5959410,1,107,11
5959411,1,107,14
5959412,1,107,15
5959413,1,107,16
5959414,1,107,17
5959415,1,156,1
5959416,1,156,2
5959417,1,156,3
5959418,1,156,5
5959419,1,183,2
5959420,1,183,7
5959421,1,156,4
5959422,1,676,16
5959423,1,181,5
5959424,1,181,10
5959425,1,181,1
5959426,1,111,2
5959427,1,111,9
5959428,1,111,10
5959429,1,182,6
5959430,1,119,22
5959431,1,119,31
5959432,1,119,21
5959433,1,119,32
5959434,1,156,6
5959435,1,156,7
5959436,1,111,17
5959437,1,107,12
5959438,1,107,13
5959439,1,671,10
5959440,1,671,9
5959441,1,181,4
5959442,1,181,2
5959443,1,181,9
5959444,1,676,14
5959445,1,676,15
5959446,1,676,18
5959447,1,150,2
5959448,1,150,1
5959449,1,101,1
5959450,1,150,3
5959451,1,150,4
5959452,1,101,2
