service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
72695,1,1,1,1,0,0,0,20201203,20210319
69410,0,1,1,1,0,0,0,20201203,20210319
69162,1,1,1,1,1,0,0,20201214,20210319
68066,1,1,1,1,0,0,0,20201214,20210319
64781,0,1,1,1,0,0,0,20201214,20210319
53314,0,0,0,0,0,0,0,20201214,20210319
52508,0,0,0,0,0,0,0,20201214,20210319
51011,0,0,0,0,0,0,0,20201214,20210318
23695,0,0,0,0,0,1,0,20201205,20210313
21934,0,0,0,0,0,1,0,20201212,20210313
21429,0,0,0,0,0,0,1,20201206,20210314
20764,0,0,0,0,0,0,1,20201206,20210314
20578,0,0,0,0,0,0,1,20201213,20210314
20410,0,0,0,0,0,1,0,20201205,20210313
19913,0,0,0,0,0,0,1,20201213,20210314
18649,0,0,0,0,0,1,0,20201212,20210313
18144,0,0,0,0,0,0,1,20201206,20210314
17293,0,0,0,0,0,0,1,20201213,20210314
16197,0,0,0,0,0,0,1,20201213,20210314
4629,1,1,1,1,1,0,0,20201203,20201211
1761,0,0,0,0,0,1,0,20201205,20201212
851,0,0,0,0,0,0,1,20201206,20201206
