service_id,date,exception_type
72695,20210101,2
72695,20201225,2
72695,20210205,1
72695,20210212,1
72695,20201204,1
72695,20210129,1
72695,20210122,1
72695,20210319,1
72695,20210108,1
72695,20210115,1
72695,20210312,1
72695,20210226,1
72695,20201218,1
72695,20210305,1
72695,20210219,1
72695,20201211,1
69410,20210118,2
69410,20210215,2
69410,20210208,1
69410,20210125,1
69410,20210111,1
69410,20210315,1
69410,20210104,1
69410,20210301,1
69410,20210308,1
69410,20201228,1
69410,20210222,1
69410,20201214,1
69410,20201221,1
69410,20201207,1
69410,20210201,1
69410,20210101,2
69410,20201225,2
69410,20210205,1
69410,20210212,1
69410,20201204,1
69410,20210129,1
69410,20210122,1
69410,20210319,1
69410,20210108,1
69410,20210115,1
69410,20210312,1
69410,20210226,1
69410,20201218,1
69410,20210305,1
69410,20210219,1
69410,20201211,1
68066,20210101,2
68066,20201225,2
68066,20210205,1
68066,20210212,1
68066,20210129,1
68066,20210122,1
68066,20210319,1
68066,20210108,1
68066,20210115,1
68066,20210312,1
68066,20210226,1
68066,20201218,1
68066,20210305,1
68066,20210219,1
64781,20210118,2
64781,20210215,2
64781,20210208,1
64781,20210125,1
64781,20210111,1
64781,20210315,1
64781,20210104,1
64781,20210301,1
64781,20210308,1
64781,20201228,1
64781,20210222,1
64781,20201214,1
64781,20201221,1
64781,20210201,1
64781,20210101,2
64781,20201225,2
64781,20210205,1
64781,20210212,1
64781,20210129,1
64781,20210122,1
64781,20210319,1
64781,20210108,1
64781,20210115,1
64781,20210312,1
64781,20210226,1
64781,20201218,1
64781,20210305,1
64781,20210219,1
53314,20210118,2
53314,20201228,2
53314,20201221,2
53314,20210215,2
53314,20210208,1
53314,20210125,1
53314,20210111,1
53314,20210315,1
53314,20210104,1
53314,20210301,1
53314,20210308,1
53314,20210222,1
53314,20201214,1
53314,20210201,1
53314,20201222,2
53314,20201229,2
53314,20210216,1
53314,20210202,1
53314,20210209,1
53314,20210126,1
53314,20210112,1
53314,20210119,1
53314,20210316,1
53314,20210105,1
53314,20210302,1
53314,20210309,1
53314,20210223,1
53314,20201215,1
53314,20201230,2
53314,20201223,2
53314,20210303,1
53314,20210310,1
53314,20210224,1
53314,20201216,1
53314,20210217,1
53314,20210203,1
53314,20210210,1
53314,20210127,1
53314,20210113,1
53314,20210120,1
53314,20210317,1
53314,20210106,1
53314,20201231,2
53314,20201224,2
53314,20210211,2
53314,20210114,1
53314,20210121,1
53314,20210318,1
53314,20210107,1
53314,20210304,1
53314,20210311,1
53314,20201217,1
53314,20210225,1
53314,20210218,1
53314,20210204,1
53314,20210128,1
53314,20210212,2
53314,20210312,2
53314,20210101,2
53314,20201225,2
53314,20210205,1
53314,20210129,1
53314,20210122,1
53314,20210319,1
53314,20210108,1
53314,20210115,1
53314,20210226,1
53314,20201218,1
53314,20210305,1
53314,20210219,1
52508,20210118,2
52508,20201228,2
52508,20201221,2
52508,20210215,2
52508,20210208,1
52508,20210125,1
52508,20210111,1
52508,20210315,1
52508,20210104,1
52508,20210301,1
52508,20210308,1
52508,20210222,1
52508,20201214,1
52508,20210201,1
52508,20201222,2
52508,20210216,2
52508,20201229,2
52508,20210202,1
52508,20210209,1
52508,20210126,1
52508,20210112,1
52508,20210119,1
52508,20210316,1
52508,20210105,1
52508,20210302,1
52508,20210309,1
52508,20201215,1
52508,20210223,1
52508,20201230,2
52508,20201223,2
52508,20210217,2
52508,20210303,1
52508,20210310,1
52508,20210224,1
52508,20201216,1
52508,20210203,1
52508,20210210,1
52508,20210127,1
52508,20210113,1
52508,20210120,1
52508,20210317,1
52508,20210106,1
52508,20201231,2
52508,20201224,2
52508,20210218,2
52508,20210114,1
52508,20210121,1
52508,20210318,1
52508,20210107,1
52508,20210304,1
52508,20210311,1
52508,20201217,1
52508,20210225,1
52508,20210204,1
52508,20210211,1
52508,20210128,1
52508,20210101,2
52508,20201225,2
52508,20210219,2
52508,20210205,1
52508,20210212,1
52508,20210129,1
52508,20210122,1
52508,20210319,1
52508,20210108,1
52508,20210115,1
52508,20210312,1
52508,20210226,1
52508,20201218,1
52508,20210305,1
51011,20210125,2
51011,20210118,2
51011,20201228,2
51011,20201221,2
51011,20210215,2
51011,20210208,1
51011,20210111,1
51011,20210315,1
51011,20210104,1
51011,20210301,1
51011,20210308,1
51011,20210222,1
51011,20201214,1
51011,20210201,1
51011,20201222,2
51011,20210216,2
51011,20201229,2
51011,20210202,1
51011,20210209,1
51011,20210126,1
51011,20210112,1
51011,20210119,1
51011,20210316,1
51011,20210105,1
51011,20210302,1
51011,20210309,1
51011,20201215,1
51011,20210223,1
51011,20201230,2
51011,20201223,2
51011,20210217,2
51011,20210303,1
51011,20210310,1
51011,20210224,1
51011,20201216,1
51011,20210203,1
51011,20210210,1
51011,20210127,1
51011,20210113,1
51011,20210120,1
51011,20210317,1
51011,20210106,1
51011,20201231,2
51011,20201224,2
51011,20210218,2
51011,20210114,1
51011,20210121,1
51011,20210318,1
51011,20210107,1
51011,20210304,1
51011,20210311,1
51011,20201217,1
51011,20210225,1
51011,20210204,1
51011,20210211,1
51011,20210128,1
51011,20210101,2
51011,20201225,2
51011,20210219,2
51011,20210205,1
51011,20210212,1
51011,20210129,1
51011,20210122,1
51011,20210108,1
51011,20210115,1
51011,20210312,1
51011,20210226,1
51011,20201218,1
51011,20210305,1
23695,20210208,2
23695,20210125,2
23695,20210111,2
23695,20210104,2
23695,20210301,2
23695,20210308,2
23695,20201228,2
23695,20210222,2
23695,20201214,2
23695,20201221,2
23695,20201207,2
23695,20210201,2
23695,20210118,1
23695,20210215,1
21934,20210208,2
21934,20210125,2
21934,20210111,2
21934,20210104,2
21934,20210301,2
21934,20210308,2
21934,20201228,2
21934,20210222,2
21934,20201214,2
21934,20201221,2
21934,20210201,2
21934,20210118,1
21934,20210215,1
21429,20210208,2
21429,20210125,2
21429,20210111,2
21429,20210104,2
21429,20210301,2
21429,20210308,2
21429,20201228,2
21429,20210222,2
21429,20201214,2
21429,20201221,2
21429,20201207,2
21429,20210201,2
21429,20210118,1
21429,20210215,1
21429,20210205,2
21429,20210212,2
21429,20210129,2
21429,20210122,2
21429,20210108,2
21429,20210115,2
21429,20210312,2
21429,20210226,2
21429,20201218,2
21429,20210305,2
21429,20210219,2
21429,20201211,2
21429,20210101,1
21429,20201225,1
20764,20210208,2
20764,20210125,2
20764,20210111,2
20764,20210104,2
20764,20210301,2
20764,20210308,2
20764,20201228,2
20764,20210222,2
20764,20201214,2
20764,20201221,2
20764,20201207,2
20764,20210201,2
20764,20210118,1
20764,20210215,1
20764,20210205,2
20764,20210212,2
20764,20210129,2
20764,20210122,2
20764,20210108,2
20764,20210115,2
20764,20210312,2
20764,20210226,2
20764,20201218,2
20764,20210305,2
20764,20201225,2
20764,20210219,2
20764,20201211,2
20764,20210101,1
20578,20210208,2
20578,20210125,2
20578,20210111,2
20578,20210104,2
20578,20210301,2
20578,20210308,2
20578,20201228,2
20578,20210222,2
20578,20201214,2
20578,20201221,2
20578,20210201,2
20578,20210118,1
20578,20210215,1
20578,20210205,2
20578,20210212,2
20578,20210129,2
20578,20210122,2
20578,20210108,2
20578,20210115,2
20578,20210312,2
20578,20210226,2
20578,20201218,2
20578,20210305,2
20578,20210219,2
20578,20210101,1
20578,20201225,1
19913,20210208,2
19913,20210125,2
19913,20210111,2
19913,20210104,2
19913,20210301,2
19913,20210308,2
19913,20201228,2
19913,20210222,2
19913,20201214,2
19913,20201221,2
19913,20210201,2
19913,20210118,1
19913,20210215,1
19913,20210205,2
19913,20210212,2
19913,20210129,2
19913,20210122,2
19913,20210108,2
19913,20210115,2
19913,20210312,2
19913,20210226,2
19913,20201218,2
19913,20210305,2
19913,20201225,2
19913,20210219,2
19913,20210101,1
18144,20210205,2
18144,20210212,2
18144,20210129,2
18144,20210122,2
18144,20210108,2
18144,20210115,2
18144,20210312,2
18144,20210226,2
18144,20201218,2
18144,20210305,2
18144,20210219,2
18144,20201211,2
18144,20210101,1
18144,20201225,1
17293,20210205,2
17293,20210212,2
17293,20210129,2
17293,20210122,2
17293,20210108,2
17293,20210115,2
17293,20210312,2
17293,20210226,2
17293,20201218,2
17293,20210305,2
17293,20210219,2
17293,20210101,1
17293,20201225,1
