name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,geometry,TMC
,0,0,2107,,,13.549250525341826,4,nan,48.2802,3,,"LINESTRING (-122.30462 47.64781,-122.30461 47.64769)",
,1,7,9,,,238.3863018636258,1,nan,94.95106,1,,"LINESTRING (-122.32233 47.65629,-122.32221 47.65676,-122.32209 47.65737,-122.32197 47.65842)",
,2,9,1008,,,684.508846372702,1,nan,94.95106,1,,"LINESTRING (-122.32197 47.65842,-122.32198 47.65875,-122.3218 47.6611,-122.32178 47.66129,-122.32177 47.6614,-122.32175 47.66149,-122.32172 47.66158,-122.32169 47.66168,-122.32165 47.66178,-122.32161 47.66187,-122.32155 47.66196,-122.32104 47.66275,-122.32101 47.66282,-122.32098 47.66289,-122.32095 47.66297,-122.32094 47.66304,-122.32093 47.66312,-122.32085 47.66377,-122.32077 47.66429,-122.32072 47.66446)",
,3,10,11,,,65.74282713986217,2,nan,94.95106,1,,"LINESTRING (-122.32167 47.65986,-122.32161 47.65993,-122.32158 47.65998,-122.32152 47.66003,-122.32147 47.66008,-122.32115 47.66033)",
,4,9,10,,,161.95054919131474,2,nan,94.95106,1,,"LINESTRING (-122.32197 47.65842,-122.32189 47.65874,-122.32179 47.65954,-122.32177 47.65963,-122.32175 47.65971,-122.32172 47.65978,-122.32167 47.65986)",
,5,1550,6,,,1145.714408755018,4,nan,96.5604,1,,"LINESTRING (-122.32264 47.65701,-122.3226 47.65618,-122.32259 47.65568,-122.32267 47.65116,-122.3227 47.64922,-122.32271 47.64868,-122.32275 47.64806,-122.32277 47.64776,-122.32289 47.64671)",
,6,23,5307,,,35.71229718007005,2,nan,94.95106,1,,"LINESTRING (-122.32137 47.65732,-122.32132 47.65736,-122.32125 47.65738,-122.32114 47.65742,-122.32102 47.65744,-122.32095 47.65745)",
,7,5307,23,,,40.76360879629331,1,nan,94.95106,1,,"LINESTRING (-122.32097 47.65753,-122.32105 47.65752,-122.32118 47.65749,-122.32131 47.65745,-122.32139 47.65742,-122.32146 47.65738)",
,8,5307,17,,,9.891430942382629,2,nan,94.95106,1,,"LINESTRING (-122.32095 47.65745,-122.32082 47.65747)",
,9,17,5307,,,9.891430942382629,1,nan,94.95106,1,,"LINESTRING (-122.32084 47.65755,-122.32097 47.65753)",
,10,5,1678,,,119.68217758294541,4,nan,96.5604,1,,"LINESTRING (-122.32242 47.6467,-122.3224 47.64778)",
