name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
Montlake Boulevard Northeast,0,4636201,0,1189,,13.556060795222248,4,30,,primary,3,"LINESTRING (-122.3046164 47.6478106, -122.3046138 47.6476887)",bike,0
Burke-Gilman Trail,1,4704942,28,70,,42.273712528244154,1,9,,cycleway,8,"LINESTRING (-122.291953 47.6619581, -122.2914658 47.6617661)",bike,0
Memorial Way Northeast,2,4708342,2521,1540,,83.14810449828363,2,20,,tertiary,5,"LINESTRING (-122.3097324 47.6612523, -122.3097303 47.661183, -122.3097297 47.6611622, -122.3097363 47.6608092, -122.3097418 47.6605046)",bike,0
East Stevens Way Northeast,3,4708348,30,1430,,49.4981972312158,1,20,,tertiary,5,"LINESTRING (-122.3096608 47.6597571, -122.3094675 47.6597543, -122.309 47.6597598)",bike,1
East Stevens Way Northeast,4,4708348,1430,30,,49.4981972312158,1,20,,tertiary,5,"LINESTRING (-122.309 47.6597598, -122.3094675 47.6597543, -122.3096608 47.6597571)",bike,1
East Stevens Way Northeast,5,4708348,1430,2476,,3.2294530222756674,1,20,,tertiary,5,"LINESTRING (-122.309 47.6597598, -122.3089569 47.6597607)",bike,1
East Stevens Way Northeast,6,4708348,2476,1430,,3.2294530222756674,1,20,,tertiary,5,"LINESTRING (-122.3089569 47.6597607, -122.309 47.6597598)",bike,1
East Stevens Way Northeast,7,4708348,2476,1431,,9.575065676158975,1,20,,tertiary,5,"LINESTRING (-122.3089569 47.6597607, -122.3088805 47.6597624, -122.3088291 47.6597618)",bike,1
East Stevens Way Northeast,8,4708348,1431,2476,,9.575065676158975,1,20,,tertiary,5,"LINESTRING (-122.3088291 47.6597618, -122.3088805 47.6597624, -122.3089569 47.6597607)",bike,1
Spokane Lane Northeast,9,4708374,29,167,,72.71839449604735,1,29,,service,7,"LINESTRING (-122.3083638 47.656524, -122.3084157 47.656569, -122.3088445 47.6568608, -122.3088909 47.6568923, -122.3090332 47.6569599, -122.3090632 47.6569742)",bike,1
Spokane Lane Northeast,10,4708374,167,29,,72.71839449604735,1,29,,service,7,"LINESTRING (-122.3090632 47.6569742, -122.3090332 47.6569599, -122.3088909 47.6568923, -122.3088445 47.6568608, -122.3084157 47.656569, -122.3083638 47.656524)",bike,1
Spokane Lane Northeast,11,4708374,167,1596,,48.6447050622529,1,29,,service,7,"LINESTRING (-122.3090632 47.6569742, -122.3093459 47.6571644, -122.3094836 47.6572161, -122.3095634 47.6572473)",bike,1
Spokane Lane Northeast,12,4708374,1596,167,,48.64470506225291,1,29,,service,7,"LINESTRING (-122.3095634 47.6572473, -122.3094836 47.6572161, -122.3093459 47.6571644, -122.3090632 47.6569742)",bike,1
Wahkiakum Lane,13,4708409,2132,1052,,113.88430802249012,1,4,,footway,9,"LINESTRING (-122.3045734 47.6563351, -122.3042717 47.656404, -122.3039276 47.6564274, -122.3036498 47.6564048, -122.3033377 47.6563445, -122.3030973 47.6562945)",bike,0
Pend Oreille Road Northeast,14,4714349,143,52,,86.69320826382227,1,20,,tertiary,5,"LINESTRING (-122.3027247 47.6581335, -122.3027681 47.6580675, -122.302821 47.6580045, -122.3028406 47.6579857, -122.3028827 47.6579451, -122.3029525 47.6578901, -122.30303 47.6578398, -122.3031142 47.6577948, -122.3032045 47.6577555, -122.3035595 47.6576239)",bike,1
Pend Oreille Road Northeast,15,4714349,52,143,,86.69320826382229,1,20,,tertiary,5,"LINESTRING (-122.3035595 47.6576239, -122.3032045 47.6577555, -122.3031142 47.6577948, -122.30303 47.6578398, -122.3029525 47.6578901, -122.3028827 47.6579451, -122.3028406 47.6579857, -122.302821 47.6580045, -122.3027681 47.6580675, -122.3027247 47.6581335)",bike,1
Pend Oreille Road Northeast,16,4714349,52,32,,84.20174396797802,1,20,,tertiary,5,"LINESTRING (-122.3035595 47.6576239, -122.303991 47.6574687, -122.3044004 47.6573695, -122.3045476 47.6573623, -122.3046 47.6573624)",bike,1
Pend Oreille Road Northeast,17,4714349,32,52,,84.20174396797802,1,20,,tertiary,5,"LINESTRING (-122.3046 47.6573624, -122.3045476 47.6573623, -122.3044004 47.6573695, -122.303991 47.6574687, -122.3035595 47.6576239)",bike,1
6th Avenue Northeast,18,4725116,1524,1513,,33.04715341865488,2,30,,secondary,4,"LINESTRING (-122.3225424 47.6549912, -122.3225419 47.654694)",bike,1
6th Avenue Northeast,19,4725116,1513,1524,,33.04715341865488,1,30,,secondary,4,"LINESTRING (-122.3225419 47.654694, -122.3225424 47.6549912)",bike,1
Northeast Pacific Street,20,4729721,76,77,,50.77265377195414,3,30,,secondary,4,"LINESTRING (-122.3151843 47.6535999, -122.3146403 47.6535921, -122.3145066 47.6535902)",bike,1
Northeast Pacific Street,21,4729721,77,76,,50.77265377195414,1,30,,secondary,4,"LINESTRING (-122.3145066 47.6535902, -122.3146403 47.6535921, -122.3151843 47.6535999)",bike,1
15th Avenue Northeast,22,4794346,116,1073,,48.99748363374124,1,30,,tertiary,5,"LINESTRING (-122.3137088 47.65159, -122.3137173 47.6516526, -122.3137163 47.6517018, -122.3137051 47.6517781, -122.3136846 47.6518397, -122.3136548 47.6518994, -122.3136159 47.6519567, -122.3135686 47.6520108)",bike,1
15th Avenue Northeast,23,4794346,1073,116,,48.99748363374125,1,30,,tertiary,5,"LINESTRING (-122.3135686 47.6520108, -122.3136159 47.6519567, -122.3136548 47.6518994, -122.3136846 47.6518397, -122.3137051 47.6517781, -122.3137163 47.6517018, -122.3137173 47.6516526, -122.3137088 47.65159)",bike,1
University Way Northeast,24,4842987,2011,688,,10.902085042962455,1,20,,tertiary,5,"LINESTRING (-122.3133082 47.655437, -122.3133126 47.655339)",bike,1
University Way Northeast,25,4842987,688,2011,,10.902085042962455,1,20,,tertiary,5,"LINESTRING (-122.3133126 47.655339, -122.3133082 47.655437)",bike,1
University Way Northeast,26,4842987,688,1176,,77.63323975785347,1,20,,tertiary,5,"LINESTRING (-122.3133126 47.655339, -122.313313 47.6553127, -122.3133151 47.6552773, -122.3133412 47.6546411)",bike,1
