o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
1,A1,1,A1,0.0,"LINESTRING (-122.3182165 47.6619451,-122.3182165 47.6619451)"
1,A1,2,A2,0.5961601398706632,"LINESTRING (-122.3182165 47.6619451,-122.3120394 47.6620739)"
1,A1,3,A3,1.3141005712790406,"LINESTRING (-122.3182165 47.6619451,-122.3045975 47.6619336)"
1,A1,4,A4,1.9988433880050254,"LINESTRING (-122.3182165 47.6619451,-122.297502 47.6621496)"
1,A1,5,A5,2.761383787686536,"LINESTRING (-122.3182165 47.6619451,-122.2895982 47.6619935)"
1,A1,6,B1,0.3118485066084304,"LINESTRING (-122.3182165 47.6619451,-122.3184912 47.6587249)"
1,A1,7,B2,0.6950125771649122,"LINESTRING (-122.3182165 47.6619451,-122.3118111 47.6586508)"
1,A1,8,B3,1.3468844457255853,"LINESTRING (-122.3182165 47.6619451,-122.3046924 47.6584889)"
1,A1,9,B4,2.0200992969018916,"LINESTRING (-122.3182165 47.6619451,-122.2975099 47.6588555)"
1,A1,10,B5,2.7815688288883575,"LINESTRING (-122.3182165 47.6619451,-122.289528 47.6591177)"
1,A1,11,C1,0.6284242175341845,"LINESTRING (-122.3182165 47.6619451,-122.3185369 47.6554401)"
1,A1,12,C2,0.8843903629093091,"LINESTRING (-122.3182165 47.6619451,-122.3117603 47.6554393)"
1,A1,13,C3,1.459140280482016,"LINESTRING (-122.3182165 47.6619451,-122.3046049 47.6553569)"
1,A1,14,C4,1.9541484118999028,"LINESTRING (-122.3182165 47.6619451,-122.2990484 47.6554076)"
1,A1,15,C5,3.061013850338033,"LINESTRING (-122.3182165 47.6619451,-122.2870025 47.6562818)"
1,A1,16,D1,0.9683322643384713,"LINESTRING (-122.3182165 47.6619451,-122.3194182 47.6519817)"
1,A1,17,D2,1.136811373544993,"LINESTRING (-122.3182165 47.6619451,-122.3114752 47.6522827)"
1,A1,18,D3,1.6157663761397536,"LINESTRING (-122.3182165 47.6619451,-122.3047238 47.6520277)"
1,A1,19,D4,1.9938791286598097,"LINESTRING (-122.3182165 47.6619451,-122.2999068 47.652366)"
1,A1,20,D5,2.93859127205427,"LINESTRING (-122.3182165 47.6619451,-122.2894249 47.6520183)"
1,A1,21,E1,1.2926319069116976,"LINESTRING (-122.3182165 47.6619451,-122.3194636 47.6486067)"
1,A1,22,E2,1.4316912627577134,"LINESTRING (-122.3182165 47.6619451,-122.3100719 47.6495426)"
1,A1,23,E3,1.8329606254656536,"LINESTRING (-122.3182165 47.6619451,-122.3043097 47.6490044)"
1,A1,24,E4,2.18185681016759,"LINESTRING (-122.3182165 47.6619451,-122.2998932 47.6486949)"
1,A1,25,E5,3.0588487513920413,"LINESTRING (-122.3182165 47.6619451,-122.2894249 47.6486783)"
1,A1,26,Gate1,1.0116884032935356,"LINESTRING (-122.3182165 47.6619451,-122.3263749 47.6553592)"
1,A1,27,Gate2,1.391972994604247,"LINESTRING (-122.3182165 47.6619451,-122.3042049 47.6653783)"
1,A1,28,Gate3,3.5485223751088606,"LINESTRING (-122.3182165 47.6619451,-122.282035 47.6553592)"
1,A1,29,Gate4,2.0964194525856974,"LINESTRING (-122.3182165 47.6619451,-122.3042049 47.64534)"
2,A2,1,A1,0.5961601398706632,"LINESTRING (-122.3120394 47.6620739,-122.3182165 47.6619451)"
2,A2,2,A2,0.0,"LINESTRING (-122.3120394 47.6620739,-122.3120394 47.6620739)"
2,A2,3,A3,0.7181970620352863,"LINESTRING (-122.3120394 47.6620739,-122.3045975 47.6619336)"
2,A2,4,A4,1.4027344308116296,"LINESTRING (-122.3120394 47.6620739,-122.297502 47.6621496)"
2,A2,5,A5,2.1653631243996436,"LINESTRING (-122.3120394 47.6620739,-122.2895982 47.6619935)"
2,A2,6,B1,0.7014075407286375,"LINESTRING (-122.3120394 47.6620739,-122.3184912 47.6587249)"
2,A2,7,B2,0.33102577091767654,"LINESTRING (-122.3120394 47.6620739,-122.3118111 47.6586508)"
2,A2,8,B3,0.7888092156554903,"LINESTRING (-122.3120394 47.6620739,-122.3046924 47.6584889)"
2,A2,9,B4,1.4359327468873448,"LINESTRING (-122.3120394 47.6620739,-122.2975099 47.6588555)"
2,A2,10,B5,2.190775928996667,"LINESTRING (-122.3120394 47.6620739,-122.289528 47.6591177)"
2,A2,11,C1,0.8959738510616003,"LINESTRING (-122.3120394 47.6620739,-122.3185369 47.6554401)"
2,A2,12,C2,0.6407396807098148,"LINESTRING (-122.3120394 47.6620739,-122.3117603 47.6554393)"
2,A2,13,C3,0.9667801978698514,"LINESTRING (-122.3120394 47.6620739,-122.3046049 47.6553569)"
2,A2,14,C4,1.4089087308292738,"LINESTRING (-122.3120394 47.6620739,-122.2990484 47.6554076)"
2,A2,15,C5,2.479615580809652,"LINESTRING (-122.3120394 47.6620739,-122.2870025 47.6562818)"
2,A2,16,D1,1.206311531329418,"LINESTRING (-122.3120394 47.6620739,-122.3194182 47.6519817)"
2,A2,17,D2,0.9463199269317353,"LINESTRING (-122.3120394 47.6620739,-122.3114752 47.6522827)"
2,A2,18,D3,1.1991370372574248,"LINESTRING (-122.3120394 47.6620739,-122.3047238 47.6520277)"
2,A2,19,D4,1.4993054180431387,"LINESTRING (-122.3120394 47.6620739,-122.2999068 47.652366)"
2,A2,20,D5,2.388066362790561,"LINESTRING (-122.3120394 47.6620739,-122.2894249 47.6520183)"
2,A2,21,E1,1.4838222684107092,"LINESTRING (-122.3120394 47.6620739,-122.3194636 47.6486067)"
2,A2,22,E2,1.2239596827325183,"LINESTRING (-122.3120394 47.6620739,-122.3100719 47.6495426)"
2,A2,23,E3,1.465124920859889,"LINESTRING (-122.3120394 47.6620739,-122.3043097 47.6490044)"
2,A2,24,E4,1.7435871976483897,"LINESTRING (-122.3120394 47.6620739,-122.2998932 47.6486949)"
2,A2,25,E5,2.5361601710667254,"LINESTRING (-122.3120394 47.6620739,-122.2894249 47.6486783)"
2,A2,26,Gate1,1.527450661942904,"LINESTRING (-122.3120394 47.6620739,-122.3263749 47.6553592)"
2,A2,27,Gate2,0.8204389054251718,"LINESTRING (-122.3120394 47.6620739,-122.3042049 47.6653783)"
2,A2,28,Gate3,2.9667389407388267,"LINESTRING (-122.3120394 47.6620739,-122.282035 47.6553592)"
2,A2,29,Gate4,1.782852864515492,"LINESTRING (-122.3120394 47.6620739,-122.3042049 47.64534)"
3,A3,1,A1,1.3141005712790406,"LINESTRING (-122.3045975 47.6619336,-122.3182165 47.6619451)"
3,A3,2,A2,0.7181970620352863,"LINESTRING (-122.3045975 47.6619336,-122.3120394 47.6620739)"
3,A3,3,A3,0.0,"LINESTRING (-122.3045975 47.6619336,-122.3045975 47.6619336)"
3,A3,4,A4,0.6849629085726611,"LINESTRING (-122.3045975 47.6619336,-122.297502 47.6621496)"
3,A3,5,A5,1.4472912732391896,"LINESTRING (-122.3045975 47.6619336,-122.2895982 47.6619935)"
3,A3,6,B1,1.3758912224171882,"LINESTRING (-122.3045975 47.6619336,-122.3184912 47.6587249)"
3,A3,7,B2,0.7647214514418756,"LINESTRING (-122.3045975 47.6619336,-122.3118111 47.6586508)"
3,A3,8,B3,0.3325116971049297,"LINESTRING (-122.3045975 47.6619336,-122.3046924 47.6584889)"
3,A3,9,B4,0.7455926352175047,"LINESTRING (-122.3045975 47.6619336,-122.2975099 47.6588555)"
3,A3,10,B5,1.479225420309126,"LINESTRING (-122.3045975 47.6619336,-122.289528 47.6591177)"
3,A3,11,C1,1.4837857880787249,"LINESTRING (-122.3045975 47.6619336,-122.3185369 47.6554401)"
3,A3,12,C2,0.9329243662948239,"LINESTRING (-122.3045975 47.6619336,-122.3117603 47.6554393)"
3,A3,13,C3,0.6345923041688731,"LINESTRING (-122.3045975 47.6619336,-122.3046049 47.6553569)"
3,A3,14,C4,0.8265669723210823,"LINESTRING (-122.3045975 47.6619336,-122.2990484 47.6554076)"
3,A3,15,C5,1.783179445502489,"LINESTRING (-122.3045975 47.6619336,-122.2870025 47.6562818)"
3,A3,16,D1,1.7225375705410062,"LINESTRING (-122.3045975 47.6619336,-122.3194182 47.6519817)"
3,A3,17,D2,1.1434915949458158,"LINESTRING (-122.3045975 47.6619336,-122.3114752 47.6522827)"
3,A3,18,D3,0.9559012819694532,"LINESTRING (-122.3045975 47.6619336,-122.3047238 47.6520277)"
3,A3,19,D4,1.0281629349421384,"LINESTRING (-122.3045975 47.6619336,-122.2999068 47.652366)"
3,A3,20,D5,1.7488967939353657,"LINESTRING (-122.3045975 47.6619336,-122.2894249 47.6520183)"
3,A3,21,E1,1.926433590887615,"LINESTRING (-122.3045975 47.6619336,-122.3194636 47.6486067)"
3,A3,22,E2,1.3070983566993633,"LINESTRING (-122.3045975 47.6619336,-122.3100719 47.6495426)"
3,A3,23,E3,1.2478485595496145,"LINESTRING (-122.3045975 47.6619336,-122.3043097 47.6490044)"
3,A3,24,E4,1.3556616063036055,"LINESTRING (-122.3045975 47.6619336,-122.2998932 47.6486949)"
3,A3,25,E5,1.944007118373979,"LINESTRING (-122.3045975 47.6619336,-122.2894249 47.6486783)"
3,A3,26,Gate1,2.1949680954993767,"LINESTRING (-122.3045975 47.6619336,-122.3263749 47.6553592)"
3,A3,27,Gate2,0.3345307942823747,"LINESTRING (-122.3045975 47.6619336,-122.3042049 47.6653783)"
3,A3,28,Gate3,2.2675987128173998,"LINESTRING (-122.3045975 47.6619336,-122.282035 47.6553592)"
3,A3,29,Gate4,1.6015670067744505,"LINESTRING (-122.3045975 47.6619336,-122.3042049 47.64534)"
4,A4,1,A1,1.9988433880050254,"LINESTRING (-122.297502 47.6621496,-122.3182165 47.6619451)"
4,A4,2,A2,1.4027344308116296,"LINESTRING (-122.297502 47.6621496,-122.3120394 47.6620739)"
4,A4,3,A3,0.6849629085726611,"LINESTRING (-122.297502 47.6621496,-122.3045975 47.6619336)"
4,A4,4,A4,0.0,"LINESTRING (-122.297502 47.6621496,-122.297502 47.6621496)"
4,A4,5,A5,0.7627824086140546,"LINESTRING (-122.297502 47.6621496,-122.2895982 47.6619935)"
4,A4,6,B1,2.052030720089027,"LINESTRING (-122.297502 47.6621496,-122.3184912 47.6587249)"
4,A4,7,B2,1.4213541807945655,"LINESTRING (-122.297502 47.6621496,-122.3118111 47.6586508)"
4,A4,8,B3,0.7785411770442032,"LINESTRING (-122.297502 47.6621496,-122.3046924 47.6584889)"
4,A4,9,B4,0.3178490186548417,"LINESTRING (-122.297502 47.6621496,-122.2975099 47.6588555)"
4,A4,10,B5,0.8231495315824997,"LINESTRING (-122.297502 47.6621496,-122.289528 47.6591177)"
4,A4,11,C1,2.130402256064728,"LINESTRING (-122.297502 47.6621496,-122.3185369 47.6554401)"
4,A4,12,C2,1.5205281393612722,"LINESTRING (-122.297502 47.6621496,-122.3117603 47.6554393)"
4,A4,13,C3,0.9483183815595987,"LINESTRING (-122.297502 47.6621496,-122.3046049 47.6553569)"
4,A4,14,C4,0.6674301192427987,"LINESTRING (-122.297502 47.6621496,-122.2990484 47.6554076)"
4,A4,15,C5,1.1605702422021589,"LINESTRING (-122.297502 47.6621496,-122.2870025 47.6562818)"
4,A4,16,D1,2.3311973477502304,"LINESTRING (-122.297502 47.6621496,-122.3194182 47.6519817)"
4,A4,17,D2,1.650532781505809,"LINESTRING (-122.297502 47.6621496,-122.3114752 47.6522827)"
4,A4,18,D3,1.1997656215939567,"LINESTRING (-122.297502 47.6621496,-122.3047238 47.6520277)"
4,A4,19,D4,0.9721213845125972,"LINESTRING (-122.297502 47.6621496,-122.2999068 47.652366)"
4,A4,20,D5,1.2502131859730208,"LINESTRING (-122.297502 47.6621496,-122.2894249 47.6520183)"
4,A4,21,E1,2.489589378518253,"LINESTRING (-122.297502 47.6621496,-122.3194636 47.6486067)"
4,A4,22,E2,1.717787991131562,"LINESTRING (-122.297502 47.6621496,-122.3100719 47.6495426)"
4,A4,23,E3,1.4283760507923278,"LINESTRING (-122.297502 47.6621496,-122.3043097 47.6490044)"
4,A4,24,E4,1.3185892413465246,"LINESTRING (-122.297502 47.6621496,-122.2998932 47.6486949)"
4,A4,25,E5,1.5155814344883933,"LINESTRING (-122.297502 47.6621496,-122.2894249 47.6486783)"
4,A4,26,Gate1,2.8619552454005714,"LINESTRING (-122.297502 47.6621496,-122.3263749 47.6553592)"
4,A4,27,Gate2,0.7178902061974028,"LINESTRING (-122.297502 47.6621496,-122.3042049 47.6653783)"
4,A4,28,Gate3,1.6299041907003957,"LINESTRING (-122.297502 47.6621496,-122.282035 47.6553592)"
4,A4,29,Gate4,1.746152346235808,"LINESTRING (-122.297502 47.6621496,-122.3042049 47.64534)"
5,A5,1,A1,2.761383787686536,"LINESTRING (-122.2895982 47.6619935,-122.3182165 47.6619451)"
5,A5,2,A2,2.1653631243996436,"LINESTRING (-122.2895982 47.6619935,-122.3120394 47.6620739)"
5,A5,3,A3,1.4472912732391896,"LINESTRING (-122.2895982 47.6619935,-122.3045975 47.6619336)"
5,A5,4,A4,0.7627824086140546,"LINESTRING (-122.2895982 47.6619935,-122.297502 47.6621496)"
5,A5,5,A5,0.0,"LINESTRING (-122.2895982 47.6619935,-122.2895982 47.6619935)"
5,A5,6,B1,2.8056663231931953,"LINESTRING (-122.2895982 47.6619935,-122.3184912 47.6587249)"
5,A5,7,B2,2.1674470370587566,"LINESTRING (-122.2895982 47.6619935,-122.3118111 47.6586508)"
5,A5,8,B3,1.495179064275526,"LINESTRING (-122.2895982 47.6619935,-122.3046924 47.6584889)"
5,A5,9,B4,0.8212562280685674,"LINESTRING (-122.2895982 47.6619935,-122.2975099 47.6588555)"
5,A5,10,B5,0.2775684050480055,"LINESTRING (-122.2895982 47.6619935,-122.289528 47.6591177)"
5,A5,11,C1,2.862991958081389,"LINESTRING (-122.2895982 47.6619935,-122.3185369 47.6554401)"
5,A5,12,C2,2.229974357975009,"LINESTRING (-122.2895982 47.6619935,-122.3117603 47.6554393)"
5,A5,13,C3,1.5832782290882919,"LINESTRING (-122.2895982 47.6619935,-122.3046049 47.6553569)"
5,A5,14,C4,1.1114402356008715,"LINESTRING (-122.2895982 47.6619935,-122.2990484 47.6554076)"
5,A5,15,C5,0.6053657302801374,"LINESTRING (-122.2895982 47.6619935,-122.2870025 47.6562818)"
5,A5,16,D1,3.035169186671805,"LINESTRING (-122.2895982 47.6619935,-122.3194182 47.6519817)"
5,A5,17,D2,2.3095262276224555,"LINESTRING (-122.2895982 47.6619935,-122.3114752 47.6522827)"
5,A5,18,D3,1.7477754789690823,"LINESTRING (-122.2895982 47.6619935,-122.3047238 47.6520277)"
5,A5,19,D4,1.3610142036636166,"LINESTRING (-122.2895982 47.6619935,-122.2999068 47.652366)"
5,A5,20,D5,0.9626538857785832,"LINESTRING (-122.2895982 47.6619935,-122.2894249 47.6520183)"
5,A5,21,E1,3.157957495017289,"LINESTRING (-122.2895982 47.6619935,-122.3194636 47.6486067)"
5,A5,22,E2,2.312131662686498,"LINESTRING (-122.2895982 47.6619935,-122.3100719 47.6495426)"
5,A5,23,E3,1.8936231048641496,"LINESTRING (-122.2895982 47.6619935,-122.3043097 47.6490044)"
5,A5,24,E4,1.622757648268275,"LINESTRING (-122.2895982 47.6619935,-122.2998932 47.6486949)"
5,A5,25,E5,1.2848940370093258,"LINESTRING (-122.2895982 47.6619935,-122.2894249 47.6486783)"
5,A5,26,Gate1,3.6058575601273186,"LINESTRING (-122.2895982 47.6619935,-122.3263749 47.6553592)"
5,A5,27,Gate2,1.44674697467555,"LINESTRING (-122.2895982 47.6619935,-122.3042049 47.6653783)"
5,A5,28,Gate3,0.9707570137220825,"LINESTRING (-122.2895982 47.6619935,-122.282035 47.6553592)"
5,A5,29,Gate4,2.13741432150285,"LINESTRING (-122.2895982 47.6619935,-122.3042049 47.64534)"
6,B1,1,A1,0.3118485066084304,"LINESTRING (-122.3184912 47.6587249,-122.3182165 47.6619451)"
