zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count,total_production,total_attraction
1,A1,-122.31821654719813,47.661945096104496,"POLYGON ((-122.3226799 47.660368329015135,-122.3226799 47.66370832901514,-122.3152899 47.66370832901514,-122.3152899 47.660368329015135,-122.3226799 47.660368329015135))",POINT (-122.31821654719813 47.661945096104496),93,595.6363681496566,903.0066798689145
2,A2,-122.3120394243226,47.66207389594476,"POLYGON ((-122.3152899 47.660368329015135,-122.3152899 47.66370832901514,-122.3078999 47.66370832901514,-122.3078999 47.660368329015135,-122.3152899 47.660368329015135))",POINT (-122.3120394243226 47.66207389594476),121,779.7945980626188,1450.3796572590709
3,A3,-122.30459751822885,47.66193362632565,"POLYGON ((-122.3078999 47.660368329015135,-122.3078999 47.66370832901514,-122.3005099 47.66370832901514,-122.3005099 47.660368329015135,-122.3078999 47.660368329015135))",POINT (-122.30459751822885 47.66193362632565),74,390.2342388435302,297.90141039453107
4,A4,-122.29750200671941,47.662149573571554,"POLYGON ((-122.3005099 47.660368329015135,-122.3005099 47.66370832901514,-122.2931199 47.66370832901514,-122.2931199 47.660368329015135,-122.3005099 47.660368329015135))",POINT (-122.29750200671941 47.662149573571554),48,392.5283228722615,3129.774728479288
5,A5,-122.28959824653859,47.66199354473745,"POLYGON ((-122.2931199 47.660368329015135,-122.2931199 47.66370832901514,-122.28572989999999 47.66370832901514,-122.28572989999999 47.660368329015135,-122.2931199 47.660368329015135))",POINT (-122.28959824653859 47.66199354473745),201,418.58737571594884,724.8053344166635
6,B1,-122.31849121587436,47.65872486310543,"POLYGON ((-122.3226799 47.657028329015134,-122.3226799 47.660368329015135,-122.3152899 47.660368329015135,-122.3152899 47.657028329015134,-122.3226799 47.657028329015134))",POINT (-122.31849121587436 47.65872486310543),187,633.0931194014563,793.2329001212382
7,B2,-122.3118110578207,47.658650830733315,"POLYGON ((-122.3152899 47.657028329015134,-122.3152899 47.660368329015135,-122.3078999 47.660368329015135,-122.3078999 47.657028329015134,-122.3152899 47.657028329015134))",POINT (-122.3118110578207 47.658650830733315),97,687.395257270312,535.5497374103438
8,B3,-122.30469240314902,47.658488858689275,"POLYGON ((-122.3078999 47.657028329015134,-122.3078999 47.660368329015135,-122.3005099 47.660368329015135,-122.3005099 47.657028329015134,-122.3078999 47.657028329015134))",POINT (-122.30469240314902 47.658488858689275),28,384.87174740628853,358.7193229255891
9,B4,-122.29750993845595,47.65885546954783,"POLYGON ((-122.3005099 47.657028329015134,-122.3005099 47.660368329015135,-122.2931199 47.660368329015135,-122.2931199 47.657028329015134,-122.3005099 47.657028329015134))",POINT (-122.29750993845595 47.65885546954783),15,71.76170925387602,1114.3785029725098
10,B5,-122.28952799786434,47.65911774798314,"POLYGON ((-122.2931199 47.657028329015134,-122.2931199 47.660368329015135,-122.28572989999999 47.660368329015135,-122.28572989999999 47.657028329015134,-122.2931199 47.657028329015134))",POINT (-122.28952799786434 47.65911774798314),105,1042.6072555531262,454.3332331371141
11,C1,-122.31853686991194,47.655440135165,"POLYGON ((-122.3226799 47.65368832901513,-122.3226799 47.657028329015134,-122.3152899 47.657028329015134,-122.3152899 47.65368832901513,-122.3226799 47.65368832901513))",POINT (-122.31853686991194 47.655440135165),85,352.0169842855779,473.53075440107796
12,C2,-122.31176031174755,47.65543928679836,"POLYGON ((-122.3152899 47.65368832901513,-122.3152899 47.657028329015134,-122.3078999 47.657028329015134,-122.3078999 47.65368832901513,-122.3152899 47.65368832901513))",POINT (-122.31176031174755 47.65543928679836),62,1105.668751632343,840.0085329323458
13,C3,-122.30460493941347,47.65535686292878,"POLYGON ((-122.3078999 47.65368832901513,-122.3078999 47.657028329015134,-122.3005099 47.657028329015134,-122.3005099 47.65368832901513,-122.3078999 47.65368832901513))",POINT (-122.30460493941347 47.65535686292878),50,2694.5857496883355,2081.7722331979294
14,C4,-122.29904839963945,47.65540755472853,"POLYGON ((-122.3005099 47.65368832901513,-122.3005099 47.657028329015134,-122.2931199 47.657028329015134,-122.2931199 47.65368832901513,-122.3005099 47.65368832901513))",POINT (-122.29904839963945 47.65540755472853),10,108.43692055053762,1079.4595821158753
15,C5,-122.28700249942344,47.656281842407225,"POLYGON ((-122.2931199 47.65368832901513,-122.2931199 47.657028329015134,-122.28572989999999 47.657028329015134,-122.28572989999999 47.65368832901513,-122.2931199 47.65368832901513))",POINT (-122.28700249942344 47.656281842407225),6,14.251854722150425,14.251854722150425
16,D1,-122.31941821076718,47.651981728510094,"POLYGON ((-122.3226799 47.65034832901513,-122.3226799 47.65368832901513,-122.3152899 47.65368832901513,-122.3152899 47.65034832901513,-122.3226799 47.65034832901513))",POINT (-122.31941821076718 47.651981728510094),68,272.17954304580576,363.38049590521456
17,D2,-122.31147523336615,47.65228269702326,"POLYGON ((-122.3152899 47.65034832901513,-122.3152899 47.65368832901513,-122.3078999 47.65368832901513,-122.3078999 47.65034832901513,-122.3152899 47.65034832901513))",POINT (-122.31147523336615 47.65228269702326),54,707.6907987709371,492.7158174126656
18,D3,-122.30472379138672,47.65202769173737,"POLYGON ((-122.3078999 47.65034832901513,-122.3078999 47.65368832901513,-122.3005099 47.65368832901513,-122.3005099 47.65034832901513,-122.3078999 47.65034832901513))",POINT (-122.30472379138672 47.65202769173737),38,668.0396884967785,752.4730861876006
19,D4,-122.29990684587229,47.65236595640302,"POLYGON ((-122.3005099 47.65034832901513,-122.3005099 47.65368832901513,-122.2931199 47.65368832901513,-122.2931199 47.65034832901513,-122.3005099 47.65034832901513))",POINT (-122.29990684587229 47.65236595640302),7,202.3630343581029,280.6747972004362
20,D5,-122.2894249,47.652018329015135,"POLYGON ((-122.2931199 47.65034832901513,-122.2931199 47.65368832901513,-122.28572989999999 47.65368832901513,-122.28572989999999 47.65034832901513,-122.2931199 47.65034832901513))",POINT (-122.2894249 47.652018329015135),0,0.0,0.0
21,E1,-122.31946356512789,47.64860672423032,"POLYGON ((-122.3226799 47.64700832901513,-122.3226799 47.65034832901513,-122.3152899 47.65034832901513,-122.3152899 47.64700832901513,-122.3226799 47.64700832901513))",POINT (-122.31946356512789 47.64860672423032),280,434.9222774969354,435.9037123021595
22,E2,-122.31007188782038,47.64954258209164,"POLYGON ((-122.3152899 47.64700832901513,-122.3152899 47.65034832901513,-122.3078999 47.65034832901513,-122.3078999 47.64700832901513,-122.3152899 47.64700832901513))",POINT (-122.31007188782038 47.64954258209164),20,247.9225246025943,309.96086558853875
23,E3,-122.30430966967737,47.64900441687434,"POLYGON ((-122.3078999 47.64700832901513,-122.3078999 47.65034832901513,-122.3005099 47.65034832901513,-122.3005099 47.64700832901513,-122.3078999 47.64700832901513))",POINT (-122.30430966967737 47.64900441687434),16,125.65410844781604,791.8639423461069
