link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,geometry,original_link_id,main_node_id,movement_str,TMC
0,1,210700,,,13.349250524964651,4,nan,48.2802,3,,"LINESTRING (-122.30462 47.64781,-122.30461 47.64769)",0,,,
1,701,900,,,238.1863018633589,1,nan,94.95106,1,,"LINESTRING (-122.32233 47.65629,-122.32221 47.65676,-122.32209 47.65737,-122.32197 47.65842)",1,,,
2,900,100802,,,684.308846372456,1,nan,94.95106,1,,"LINESTRING (-122.32197 47.65842,-122.32198 47.65875,-122.3218 47.6611,-122.32178 47.66129,-122.32177 47.6614,-122.32175 47.66149,-122.32172 47.66158,-122.32169 47.66168,-122.32165 47.66178,-122.32161 47.66187,-122.32155 47.66196,-122.32104 47.66275,-122.32101 47.66282,-122.32098 47.66289,-122.32095 47.66297,-122.32094 47.66304,-122.32093 47.66312,-122.32085 47.66377,-122.32077 47.66429,-122.32072 47.66446)",2,,,
3,1001,1100,,,65.5428271400769,2,nan,94.95106,1,,"LINESTRING (-122.32167 47.65986,-122.32161 47.65993,-122.32158 47.65998,-122.32152 47.66003,-122.32147 47.66008,-122.32115 47.66033)",3,,,
4,900,1001,,,161.7505491916933,2,nan,94.95106,1,,"LINESTRING (-122.32197 47.65842,-122.32189 47.65874,-122.32179 47.65954,-122.32177 47.65963,-122.32175 47.65971,-122.32172 47.65978,-122.32167 47.65986)",4,,,
5,155000,600,,,1129.6144087547393,4,nan,96.5604,1,,"LINESTRING (-122.32264 47.65701,-122.3226 47.65618,-122.32259 47.65568,-122.32267 47.65116,-122.3227 47.64922,-122.32271 47.64868,-122.32275 47.64806,-122.32277 47.64776,-122.32288 47.64685)",5,,,
6,2300,530700,,,11.712297180120391,2,nan,94.95106,1,,"LINESTRING (-122.32125 47.65738,-122.32114 47.65742,-122.3211 47.65743)",6,,,
7,530701,2301,,,24.76360879627525,1,nan,94.95106,1,,"LINESTRING (-122.32108 47.65751,-122.32118 47.65749,-122.32131 47.65745,-122.32138 47.65743)",7,,,
8,530702,1700,,,7.89143094244526,2,nan,94.95106,1,,"LINESTRING (-122.32094 47.65745,-122.32083 47.65747)",8,,,
9,1701,530703,,,7.89143094244526,1,nan,94.95106,1,,"LINESTRING (-122.32086 47.65754,-122.32096 47.65753)",9,,,
10,500,167801,,,103.58217758254541,4,nan,96.5604,1,,"LINESTRING (-122.32242 47.64684,-122.3224 47.64778)",10,,,
11,167801,701,,,946.0456731909675,4,nan,96.5604,1,,"LINESTRING (-122.3224 47.64778,-122.32244 47.64928,-122.32235 47.65601,-122.32233 47.65629)",11,,,
12,2400,122100,,,142.59459843397343,1,nan,94.95106,1,,"LINESTRING (-122.32239 47.65576,-122.3223 47.65603,-122.3222 47.65631,-122.32209 47.65653,-122.32197 47.65668,-122.32174 47.65696)",12,,,
13,122101,2401,,,144.68898815585234,1,nan,94.95106,1,,"LINESTRING (-122.32182 47.65699,-122.32205 47.65671,-122.32217 47.65656,-122.32229 47.65633,-122.32239 47.65604,-122.32248 47.65577)",13,,,
14,11400,11500,,,795.7457369679175,2,nan,96.5604,1,,"LINESTRING (-122.32258 47.6467,-122.32251 47.6485,-122.32247 47.65112,-122.32241 47.65386)",14,,,
15,11501,11401,,,795.5937334834546,2,nan,96.5604,1,,"LINESTRING (-122.32255 47.65386,-122.32261 47.65112,-122.32265 47.6485,-122.32272 47.64671)",15,,,
16,2701,2600,,,68.9337438423807,1,nan,64.3736,1,,"LINESTRING (-122.32249 47.66299,-122.3225 47.66287,-122.32255 47.66274,-122.32265 47.66255,-122.32274 47.6624)",16,,,
17,956900,2701,,,500.50371148443617,1,nan,64.3736,1,,"LINESTRING (-122.32256 47.66749,-122.32247 47.66365,-122.32249 47.66299)",17,,,
18,957000,155402,,,253.26219463810088,1,nan,64.3736,1,,"LINESTRING (-122.3226 47.66749,-122.32261 47.66735,-122.32282 47.66551,-122.32287 47.66522)",18,,,
19,2800,65402,,,33.55174707973853,1,nan,94.95106,1,,"LINESTRING (-122.32077 47.66179,-122.3208 47.66184,-122.32084 47.66191,-122.32094 47.66207)",19,,,
20,883400,204600,,,1.9156996144797618,2,nan,32.1868,5,,"LINESTRING (-122.30973 47.66118,-122.30973 47.66116)",31,,,
21,204600,271000,,,72.89081792872861,2,nan,32.1868,5,,"LINESTRING (-122.30973 47.66116,-122.30974 47.66081,-122.30974 47.66051)",32,,,
22,6400,254500,,,12.517202481283196,1,nan,32.1868,5,,"LINESTRING (-122.30965 47.65973,-122.30948 47.65972)",33,,,
23,254501,6401,,,12.517202481283196,1,nan,32.1868,5,,"LINESTRING (-122.30948 47.65979,-122.30965 47.65979)",34,,,
24,254502,242400,,,19.10740435494906,1,nan,32.1868,5,,"LINESTRING (-122.30936 47.65972,-122.30911 47.65973)",35,,,
25,242401,254503,,,19.10740435494906,1,nan,32.1868,5,,"LINESTRING (-122.30911 47.65979,-122.30936 47.65979)",36,,,
26,242402,837500,,,2.0000000000253735,1,nan,32.1868,5,,"LINESTRING (-122.30899 47.65973,-122.30896 47.65973)",37,,,
27,837501,242403,,,2.0000000000253735,1,nan,32.1868,5,,"LINESTRING (-122.30897 47.65979,-122.309 47.65979)",38,,,
28,837502,729700,,,3.739578746965809,1,nan,32.1868,5,,"LINESTRING (-122.30894 47.65973,-122.30889 47.65973)",39,,,
29,729701,837503,,,3.739578746965809,1,nan,32.1868,5,,"LINESTRING (-122.3089 47.65979,-122.30895 47.65979)",40,,,
30,729702,242500,,,2.0000000000171387,1,nan,32.1868,5,,"LINESTRING (-122.30887 47.65973,-122.30884 47.65973)",41,,,
31,242501,729703,,,2.0000000000171387,1,nan,32.1868,5,,"LINESTRING (-122.30884 47.65979,-122.30887 47.65979)",42,,,
32,5100,249300,,,4.340368524622018,1,nan,46.67086,7,,"LINESTRING (-122.30834 47.65655,-122.30837 47.65658)",56,,,
33,249301,5101,,,4.340368524622018,1,nan,46.67086,7,,"LINESTRING (-122.30844 47.65654,-122.30841 47.65651)",57,,,
34,249302,899100,,,29.699606058162466,1,nan,46.67086,7,,"LINESTRING (-122.30846 47.65664,-122.30874 47.65683)",58,,,
35,899101,249303,,,29.699606058162466,1,nan,46.67086,7,,"LINESTRING (-122.3088 47.65679,-122.30852 47.6566)",59,,,
